codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5924,Relator,2024-05-20,PL 264/2024,"Altera o Decreto-Lei n° 2.848, de 7 de dezembro de 1940 (Código Penal), para disciplinar efeitos automáticos da sentença penal condenatória, nos crimes praticados por militar contra o Estado Democrático de Direito.",2024,CDD,Comissão de Defesa da Democracia
5924,Relator,2024-04-24,PEC 67/2023,Acrescenta o § 7º ao art. 220 da Constituição Federal para dispor sobre a proteção da liberdade de imprensa.,2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5924,Relator,2024-04-23,PL 2631/2022,"Altera a Lei nº 9.277, de 10 de maio de 1996, para autorizar destinação de percentual de receitas de portos para compensação de Municípios afetados por atividades portuárias.",2022,CAE,Comissão de Assuntos Econômicos
5924,Relator Ad hoc,2024-04-23,PL 795/2024 (Substitutivo-CD),Institui diretrizes para a Tarifa Social de Água e Esgoto em âmbito nacional.,2024,CAE,Comissão de Assuntos Econômicos
5924,Relator,2024-03-08,PL 3284/2021,Estabelece o Sistema Nacional de Investimentos e Negócios de Impacto (Simpacto) e institui a qualificação das Sociedades de Benefício.,2021,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5924,Relator,2024-02-09,PL 3819/2023,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), a fim de estabelecer prazo para medida cautelar de suspensão do exercício de função pública, prevista no artigo 319, inciso VI, do Código de Processo Penal, quando aplicada em face de detentor de cargo eletivo.",2023,CDD,Comissão de Defesa da Democracia
5924,Relator,2023-11-20,MSF 79/2023,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea “d”, da Constituição, combinado com art. 4º, caput, da Lei Complementar nº 179, de 24 de fevereiro de 2021, o nome do Senhor PAULO PICCHETTI, para exercer o cargo de Diretor do Banco Central do Brasil, na vaga decorrente do término do mandato de Fernanda Magalhães Rumenos Guardado em 31 de dezembro de 2023.",2023,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-10-25,PL 651/2022,"Dispõe sobre a tipificação criminal de delitos digitais; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências.",2022,CDD,Comissão de Defesa da Democracia
5924,Relator,2023-09-06,PL 3419/2023,"Altera a Lei nº 13.988, de 14 de abril de 2020, que “dispõe sobre a transação nas hipóteses que especifica; e altera as Leis nº s 13.464, de 10 de julho de 2017, e 10.522, de 19 de julho de 2002.",2023,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-07-13,PL 2091/2023,"Altera a Lei nº 6.385, de 7 de dezembro de 1976, para tipificar novos crimes cometidos no mercado de valores mobiliários.",2023,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-07-13,PLP 137/2019,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre a cédula de crédito microempresarial.",2019,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-07-05,PL 2991/2023,"Altera o Decreto nº 70.235, de 6 de março de 1972, para instituir no Procedimento Administrativo Fiscal, antes da lavratura do auto de infração ou notificação, Termo Circunstanciado das Infração Verificadas e do Débito Apurado, para fins de defesa prévia do sujeito passivo e opção de pagamento ou parcelamento do débito que considerar incontroverso, com os acréscimos legais de juros e multa de mora.",2023,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-06-07,PL 6406/2019,"Dispõe sobre a imposição de penalidades relacionadas ao comércio exterior; altera o Decreto-Lei nº 1.455, de 7 de abril de 1976; revoga a Lei nº 2.770, de 4 de maio de 1956; revoga o art. 67 da Medida Provisória nº 2.158-35, de 24 de agosto de 2001.",2019,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-06-07,PRS 34/2021,Requer que as operações de crédito externo para o financiamento de governos estrangeiros ou de projetos de infraestrutura em que a União for credora sejam submetidas à autorização prévia do Senado Federal.,2021,CAE,Comissão de Assuntos Econômicos
5924,Relator,2023-06-01,PL 5239/2020,"Altera o art. 4º da Lei nº 4.595, de 31 de dezembro de 1964, a fim de oferecer linhas de crédito para aquisição de equipamentos de energia fotovoltaica e eólica, com baixos juros, a famílias menos favorecidas.",2020,CI,Comissão de Serviços de Infraestrutura
