codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5523,Relator,2024-07-09,PL 4214/2021,Institui o Dia Nacional do Medicamento Biossimilar.,2021,CAS,Comissão de Assuntos Sociais
5523,Relator,2024-07-09,PL 2460/2022,Institui o Programa Nacional de Cuidados Paliativos.,2022,CAS,Comissão de Assuntos Sociais
5523,Relator,2024-07-03,PL 4089/2023,"Altera as Leis nºs 10.820, de 17 de dezembro de 2003, e 14.509, de 27 de dezembro de 2022, para dispor sobre a concessão de crédito consignado sem autorização do beneficiário, e a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), para caracterizar como prática discriminatória a conduta que especifica.",2023,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
5523,Relator,2024-06-18,PLC 29/2017,"Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.",2017,PLEN,Plenário do Senado Federal
5523,Relator,2024-06-17,PL 2308/2023,"Institui o marco legal do hidrogênio de baixa emissão de carbono; dispõe sobre a Política Nacional do Hidrogênio de Baixa Emissão de Carbono; institui incentivos para a indústria do hidrogênio de baixa emissão de carbono; institui o Regime Especial de Incentivos para a Produção de Hidrogênio de Baixa Emissão de Carbono (Rehidro); cria o Programa de Desenvolvimento do Hidrogênio de Baixa Emissão de Carbono (PHBC); e altera as Leis nºs 9.427, de 26 de dezembro de 1996, e 9.478, de 6 de agosto de 1997.",2023,PLEN,Plenário do Senado Federal
5523,Relator,2024-06-05,PLP 123/2022,"Estabelece normas gerais de fiscalização financeira da administração pública direta e indireta da União, dos Estados, do Distrito Federal e dos Municípios, dispõe sobre a simetria de que trata o art. 75 da Constituição Federal, e dá outras providências.",2022,CTFC,"Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor"
5523,Relator,2024-06-05,PLP 187/2023,"Altera a Lei Complementar nº 172, de 15 de abril de 2020, para prorrogar o prazo para a transposição e transferência dos saldos financeiros remanescentes das contas dos Fundos de Saúde, de exercícios anteriores, até o fim do exercício financeiro de 2024.",2023,CAE,Comissão de Assuntos Econômicos
5523,Relator,2024-06-05,PL 3972/2020,"Institui o Programa Nacional de Incentivo à Ciência, Tecnologia e Inovação - PROCITEC, altera a Lei nº 9.249, de 26 de dezembro de 1995, e dá outras providências.",2020,CAE,Comissão de Assuntos Econômicos
5523,Relator,2024-05-28,PL 1791/2024,"Institui a Estratégia Nacional de Gestão e Ação Emergencial em Situações de Desastres Ambientais - ENGD, visando à garantia da segurança e do bem-estar da população na presença de desastres ambientais decorrentes de eventos climáticos e, meteorológicos ou sísmicos, bem da ação humana, e a adoção de medidas para a prevenção, reparação ou mitigação de danos a pessoas, animais e instalações, e dá outras providências.",2024,CAE,Comissão de Assuntos Econômicos
5523,Relator,2024-05-28,PL 1815/2024,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto de prestações em folha de pagamento, e dá outras providências, e a Lei nº 14.509, de 27 de dezembro de 2022, que dispõe sobre o percentual máximo aplicado para a contratação de operações de crédito com desconto automático em folha de pagamento; altera a Lei nº 14.431, de 3 de agosto de 2022; revoga dispositivos da Lei nº 8.112, de 11 de dezembro de 1990; e dá outras providências, para suspender, por 180 (cento e oitenta) dias, o pagamento das obrigações de operações de créditos consignados em benefícios previdenciários de aposentados e pensionistas abrangidos pelo reconhecimento de estado de calamidade pública objeto do Decreto Legislativo nº 36, de 7 de maio de 2024.",2024,CAE,Comissão de Assuntos Econômicos
5523,Relator,2024-05-14,PL 831/2024,"Altera o caput do art. 43 e modifica o § 2º A do art. 43 da Lei 11.445, de 5 de janeiro de 2007, (Diretrizes Nacionais para o Saneamento Básico), estabelecendo limites máximos aceitáveis de perda de distribuição de água.",2024,CMA,Comissão de Meio Ambiente
5523,Relator,2024-05-14,PL 3480/2019,"Altera a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, cria o Sistema Nacional de Gerenciamento de Recursos Hídricos, regulamenta o inciso XIX do art. 21 da Constituição Federal, e altera o art. 1º da Lei nº 8.001, de 13 de março de 1990, que modificou a Lei nº 7.990, de 28 de dezembro de 1989, para que a proteção ao patrimônio turístico e paisagístico seja verificada na outorga de recursos hídricos para aproveitamento dos potenciais hidrelétricos.",2019,CMA,Comissão de Meio Ambiente
5523,Relator,2024-05-06,PL 269/2024,"Altera a Lei nº 6.360, de 23 de setembro de 1976, que “dispõe sobre a vigilância sanitária a que ficam sujeitos os medicamentos, as drogas, os insumos farmacêuticos e correlatos, cosméticos, saneantes e outros produtos, e dá outras providências”, e a Lei nº 5.991, de 17 de dezembro de 1973, que “dispõe sobre o controle sanitário do comércio de drogas, medicamentos, insumos farmacêuticos e correlatos, e dá outras providências”, para tornar obrigatório o alerta sobre a presença de leite, derivados ou suas proteínas na composição de medicamentos, bem como a publicação anual de lista dos produtos farmacêuticos que contenham essas substâncias.",2024,CAS,Comissão de Assuntos Sociais
5523,Relator,2024-05-06,PL 5330/2023,Institui o Dia Nacional da Síndrome Cornelia de Lange.,2023,CAS,Comissão de Assuntos Sociais
5523,Relator,2024-04-17,PLP 150/2021,"Altera a Lei Complementar nº 79, de 7 de janeiro de 1994, para instituir mecanismos de proteção à população LGBT+ encarcerada.",2021,CSP,Comissão de Segurança Pública
5523,Relator,2024-04-16,PLC 29/2017,"Dispõe sobre normas de seguro privado; revoga dispositivos da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil); e dá outras providências.",2017,CAE,Comissão de Assuntos Econômicos
5523,Relator Ad hoc,2024-04-16,PLP 201/2019,"Altera o inciso I do §1º do art. 48 da Lei Complementar nº 101, de 4 de maio de 2000, para garantir a participação popular e a realização de audiências públicas, durante os processos de elaboração e discussão dos planos, lei de diretrizes orçamentárias e orçamentos.",2019,CAE,Comissão de Assuntos Econômicos
