codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
825,Relator,2024-07-09,PDL 183/2021,"Susta a Portaria nº 13, de 19 de abril de 2021, da Secretaria de Ciência, Tecnologia, Inovação e Insumos Estratégicos em Saúde, do Ministério da Saúde, que torna pública a decisão de incorporar o implante subdérmico de etonogestrel, condicionada à criação de programa específico, na prevenção da gravidez não planejada para mulheres em idade fértil: em situação de rua; com HIV/AIDS em uso de dolutegravir; em uso de talidomida; privadas de liberdade; trabalhadoras do sexo; e em tratamento de tuberculose em uso de aminoglicosídeos, no âmbito do Sistema Único de Saúde – SUS.",2021,CAS,Comissão de Assuntos Sociais
825,Relator,2024-07-09,PL 1151/2023,"Altera o art. 87 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para estender o direito ao atendimento psicossocial às crianças e aos adolescentes que tiverem qualquer dos pais ou responsáveis vitimado por grave violência ou preso em regime fechado.",2023,CAS,Comissão de Assuntos Sociais
825,Relator,2024-07-09,PL 1667/2024,"Altera o artigo 459 do Decreto Lei nº 5.452, de 1º de maio de 1943 - Consolidação das Leis do Trabalho, para inserir o parágrafo segundo.",2024,CAS,Comissão de Assuntos Sociais
825,Relator,2024-07-09,PL 1580/2024,Institucionaliza medidas de auxílio quando for reconhecido estado de calamidade pública.,2024,CAS,Comissão de Assuntos Sociais
825,Relator,2024-07-09,PL 1271/2024,"Altera o inciso I do art. 473 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para ampliar a quantidade de dias que o empregado poderá deixar de comparecer ao serviço sem prejuízo do salário, em caso de falecimento de cônjuge, companheiro, pais, madrasta ou padrasto, filhos, enteados, menor sob guarda ou tutela e irmãos.",2024,CAS,Comissão de Assuntos Sociais
825,Relator,2024-07-05,PL 1577/2020,Institui a Política Nacional para a População em Situação de Rua.,2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
825,Relator Ad hoc,2024-07-02,PL 1481/2024,"Altera o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal); a Lei nº 9.613, de 3 de março de 1998 (Lei de Lavagem de Capitais); a Lei nº 11.343, de 23 de agosto de 2006 (Lei de Drogas); e a Lei nº 11.904, de 14 de janeiro de 2009 (Estatuto de Museus), a fim de determinar que obras de arte e antiguidades objetos de medidas assecuratórias ou cuja perda seja decretada em favor do Estado sejam destinadas a museus públicos.",2024,CE,Comissão de Educação e Cultura
825,Relator,2024-06-19,PLP 88/2024,"Dispõe sobre a desvinculação do objeto e dos compromissos previamente estabelecidos em atos normativos, e sobre transposição, transferência e remanejamento de recursos financeiros, incluindo as emendas parlamentares, depositados nas contas dos respectivos fundos municipais do Rio Grande do Sul, para utilização em ações emergenciais de resposta a desastres.",2024,CAE,Comissão de Assuntos Econômicos
825,Relator,2024-06-17,PL 1357/2019,"Institui o selo Acessibilidade Nota 10, como forma de certificação oficial destinada aos estabelecimentos privados ou públicos que promovam a acessibilidade de pessoas com deficiência ou com mobilidade reduzida.",2019,CDH,Comissão de Direitos Humanos e Legislação Participativa
825,Relator,2024-06-13,PL 3148/2023,"Dispõe sobre os procedimentos para a denominação de instituições públicas de ensino indígenas, quilombolas e do campo no território nacional.",2023,CE,Comissão de Educação e Cultura
