codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5502,Relator,2024-06-12,PL 2913/2022,"Confere o título de Capital Nacional do Guaraná ao Município de Maués, no Estado do Amazonas.",2022,CE,Comissão de Educação e Cultura
5502,Relator,2024-06-05,PL 2610/2023,Reconhece o Festival Folclórico de Parintins e os Bois Garantido e Caprichoso como manifestação da cultura nacional.,2023,CE,Comissão de Educação e Cultura
5502,Relator,2024-04-24,PL 2518/2021,Dispõe sobre o exercício da profissão de oleiro ou ceramista.,2021,CAE,Comissão de Assuntos Econômicos
5502,Relator,2024-04-10,PL 3087/2022,"Altera o Decreto sem número, de 22 de agosto de 2002, que cria o Parque Nacional Montanhas do Tumucumaque, no Estado do Amapá, para criar o Distrito Parque de Vila Brasil.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2024-03-06,PL 3172/2023,"Altera a Lei nº 12.232, de 29 de abril de 2010, para destinar 10% das verbas de propagandas institucionais do Governo Federal para o financiamento de campanhas de prevenção ao uso de drogas.",2023,CAE,Comissão de Assuntos Econômicos
5502,Relator,2024-03-05,PL 339/2024,"Regula a prática de pipa desportiva e proíbe a utilização de cerol ou produto industrializado nacional ou importado semelhante que possa ser aplicado nos fios ou linhas utilizados para manusear pipas ou balões, ou semelhantes; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para incluir hipótese de dano qualificado e tipificar os crimes de fabricação de cerol ou linha cortante e de utilização de linha com cerol ou produto cortante; e altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para tipificar crime relacionado ao uso de cerol ou linha cortante.",2024,CEsp,Comissão de Esporte
5502,Relator,2024-02-08,PL 3114/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal -, para prever que o estelionato cometido contra pessoa com deficiência se procede mediante ação penal pública incondicionada.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2023-12-13,PEC 65/2023,Dispõe sobre o regime jurídico aplicável ao Banco Central.,2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2023-10-17,PL 3737/2021,"Altera a Lei nº 11.947, de 16 de junho de 2009, para definir o limite individual anual de venda do agricultor familiar e do empreendedor familiar rural para a alimentação escolar e dá outras providências.",2021,CE,Comissão de Educação e Cultura
5502,Relator,2023-09-27,PL 511/2023,"Altera a Lei nº 8.429, de 2 de junho de 1992, para ampliar o rol dos atos de improbidade administrativa que atentam contra os princípios da administração pública.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2023-08-22,PL 2849/2023,"Altera a Lei nº 8.212, de 24 de julho de 1991, para dispor sobre a contribuição previdenciária de estudantes bolsistas de pós-doutorado, das entidades de ensino e pesquisa e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-08-22,PL 675/2022,"Altera a Lei nº 8.212, de 24 de julho de 1991, para dispor sobre a contribuição previdenciária de estudantes bolsistas das entidades federais de ensino e dá outras providências.",2022,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-07-13,PL 552/2019,"Institui o Fundo Nacional dos Direitos das Pessoas com Deficiência, altera a Lei nº 9.250, de 26 de dezembro de 1995, e autoriza deduzir do imposto sobre a renda das pessoas físicas e das pessoas jurídicas as doações feitas aos fundos controlados pelos conselhos de direitos das pessoas com deficiência.",2019,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-06-29,PL 3026/2022,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para possibilitar ao doador de recursos aos Fundos dos Direitos da Criança e do Adolescente a indicação da destinação desses recursos, na forma que especifica.",2022,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-06-07,PLP 234/2020,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para estimular o uso estratégico das compras públicas para fomentar as atividades de microempresas e de empresas de pequeno porte.",2020,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-05-25,PL 2878/2019,"Insere o §4º ao Art. 1º da Lei nº 9.008, de 21 de março de 1995.",2019,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-05-22,PLP 199/2021,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para proibir a limitação de despesas orçamentárias com bolsas e auxílios em instituições de ensino superior.",2021,CE,Comissão de Educação e Cultura
5502,Relator,2023-05-12,PL 2254/2022,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para recrudescer o tratamento penal dispensado aos crimes de extorsão, de estelionato e de fraude no comércio, e a Lei nº 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), para incluir o crime de estelionato contra idoso ou vulnerável no rol dos crimes hediondos.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2023-05-09,PL 10/2022,Modifica a Consolidação das Leis do Trabalho (CLT) para regulamentar o regime híbrido de trabalho.,2022,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-04-13,PLP 13/2020,"Altera a Lei nº 4.595, de 31 de dezembro de 1964, para estabelecer limite para a exposição total de crédito das instituições financeiras e promover a concorrência no Sistema Financeiro Nacional.",2020,CAE,Comissão de Assuntos Econômicos
5502,Relator Ad hoc,2023-04-12,PL 2969/2022,"Dispõe sobre a transformação de cargos de Analista do Ministério Público da União em cargos de Procurador da Justiça Militar, em cargos de Promotor da Justiça Militar e em cargos em comissão que especifica, no âmbito do Ministério Público Militar; e altera a Lei nº 13.316, de 20 de julho de 2016.",2022,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5502,Relator,2023-04-05,PL 3026/2022,"Altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para possibilitar ao doador de recursos aos Fundos dos Direitos da Criança e do Adolescente a indicação da destinação desses recursos, na forma que especifica.",2022,CAE,Comissão de Assuntos Econômicos
5502,Relator,2023-03-31,PL 5884/2019,Dispõe sobre as Instituições Comunitárias de Educação Básica.,2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
