codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
70,Relator,2024-07-10,DEN 3/2024,Requer instauração de processo disciplinar (Denúncia) em face do Senador Randolfe Rodrigues.,2024,CEDP,Conselho de Ética e Decoro Parlamentar
70,Relator,2024-07-09,DEN 3/2024,Requer instauração de processo disciplinar (Denúncia) em face do Senador Randolfe Rodrigues.,2024,CEDP,Conselho de Ética e Decoro Parlamentar
70,Relator,2024-06-05,PL 4445/2023,"Altera a Lei nº 10.438, de 26 de abril de 2002, para dispor sobre a equalização tarifária das distribuidoras de energia elétrica e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
70,Relator,2024-05-03,PL 748/2022,"Altera o art. 3º-B do Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para estabelecer que as audiências de custódia devem ser realizadas, preferencialmente, por videoconferência.",2022,CSP,Comissão de Segurança Pública
70,Relator,2024-04-24,PL 258/2024,Dispõe sobre a Política Nacional de Desplastificação.,2024,CAE,Comissão de Assuntos Econômicos
70,Relator,2024-04-17,PLC 194/2015,Dispõe sobre a criação de cargos de provimento efetivo e de cargos em comissão no Quadro de Pessoal da Secretaria do Tribunal Regional do Trabalho da 19ª Região e dá outras providências.,2015,CCJ,"Comissão de Constituição, Justiça e Cidadania"
70,Relator,2024-04-08,PL 2406/2022,"Altera os arts. 2º e 4º da Lei nº 13.022, de 8 de agosto de 2014, para permitir a atuação das guardas municipais na função de segurança pública.",2022,CSP,Comissão de Segurança Pública
70,Relator,2024-03-08,PL 850/2023,"Altera a Lei nº 8.906, de 4 de julho de 1994, a fim de explicitar a natureza alimentar dos honorários advocatícios.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
70,Relator,2024-02-07,PL 2827/2021,"Altera os arts. 5º e 7º do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para estabelecer a aplicação da lei brasileira aos crimes praticados por meio de terminal de acesso à rede mundial de computadores localizado em território nacional, bem como aos crimes praticados por ou contra brasileiro, por meio de terminal de acesso à rede mundial de computadores localizado em território estrangeiro.",2021,CSP,Comissão de Segurança Pública
70,Relator,2023-12-12,PL 5228/2019 (Substitutivo-CD),"Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para instituir o contrato de primeiro emprego e o contrato de recolocação profissional.",2019,CAS,Comissão de Assuntos Sociais
70,Relator,2023-10-25,PL 5364/2020,"Acrescenta o Art. 2º-A, à Lei nº 13.260, de 16 de março de 2016, que disciplina o terrorismo, acrescentando novo tipo penal como ato terrorista.",2020,CDD,Comissão de Defesa da Democracia
70,Relator,2023-10-19,PLP 147/2023,"Altera a Lei Complementar nº 7, de 7 de setembro de 1970, para conceder o abono de PIS aos empregados domésticos; e a Lei nº 9.715, de 25 de novembro de 1998, para definir a contribuição dos empregadores domésticos para o Programa de Integração Social - PIS.",2023,CAE,Comissão de Assuntos Econômicos
70,Relator,2023-09-28,MSF 64/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, a autorização para a contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 40,000,000.00 (quarenta milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado de Alagoas e o Banco Internacional para a Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao financiamento do “Programa de Sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado de Alagoas – PROGESTÃO Alagoas”.",2023,CAE,Comissão de Assuntos Econômicos
