codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5905,Relator,2024-06-28,PL 805/2024,"Altera a Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), para coibir a chamada “obsolescência programada” e regular o direito ao reparo.",2024,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
5905,Relator,2024-06-26,REQ 8/2024 - CMMIR,"Requer informações sobre a situação e atendimento de migrantes e refugiados, em razão do desastre climático no Rio Grande do Sul, ao Ministro de Direitos Humanos e Cidadania.",2024,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-26,REQ 7/2024 - CMMIR,"Requer informações sobre a situação e atendimento de migrantes e refugiados, em razão do desastre climático no Rio Grande do Sul, ao Ministro da Justiça e Segurança Pública.",2024,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-26,RQS 1043/2023,"Requer que sejam prestadas, pela Senhora Ministra de Estado da Saúde, Nísia Verônica Trindade Lima, informações sobre a disponibilização de implante de drenagem oftalmológico para o tratamento do glaucoma primário no Sistema Único de Saúde (SUS).",2023,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-12,PL 6064/2023,"Dispõe sobre o direito a indenização por dano moral e a concessão de pensão especial à pessoa com deficiência permanente decorrente de síndrome congênita associada à infecção pelo vírus Zika ou de Síndrome de Guillain-Barré causada pelo vírus Zika; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 8.742, de 7 de dezembro de 1993, e 8.213, de 24 de julho de 1991.",2023,CAE,Comissão de Assuntos Econômicos
5905,Relator,2024-06-12,PL 4030/2020,Institui o Dia Nacional do Brincar.,2020,CE,Comissão de Educação e Cultura
5905,Relator,2024-06-05,PL 582/2019,"Acrescenta o inciso XXII ao art. 6º da Lei nº 7.713, de 22 de dezembro de 1988, para isentar do Imposto de Renda das Pessoas Físicas quaisquer rendimentos percebidos por maiores de 75 (setenta e cinco) anos de idade, desde que não percebam rendimentos de aposentadoria, reforma ou pensão superiores ao limite máximo estabelecido para os benefícios do regime geral de previdência social.",2019,CAE,Comissão de Assuntos Econômicos
5905,Relator,2024-06-03,RQS 272/2024,"Requer informações à Sra. Nísia Trindade Lima, Ministra de Estado da Saúde, sobre o Acordo de Compartilhamento de Risco referente ao medicamento Zolgensma.",2024,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-03,REQ 52/2024 - CCDD,"Nos termos do art. 50, § 2º, da Constituição Federal, combinado com o art. 216 do Regimento Interno do Senado Federal, requer seja solicitada ao Ministro de Estado das Comunicações informação referente à renovação da autorização outorgada à ASSOCIAÇÃO EDUCACIONAL, CULTURAL E ARTÍSTICA NOVO TEMPO para executar serviço de radiodifusão comunitária no município de Igaci, estado de Alagoas, de que trata o Projeto de Decreto Legislativo nº 591, de 2021.",2024,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-03,RQS 267/2024,"Requer informações ao Senhor Ricardo Lewandowski, Ministro de Estado da Justiça e Segurança Pública, sobre a inclusão de pessoas no sistema alerta, feita pela Policia Federal, revelado por seu representante em Audiência Pública da Comissão de Segurança Pública.",2024,CDIR,Comissão Diretora do Senado Federal
5905,Relator,2024-06-03,PL 914/2024,"Institui o Programa Mobilidade Verde e Inovação (Programa Mover); estabelece a política de conteúdo local; altera o Decreto-Lei nº 1.804, de 3 de setembro de 1980; e revoga dispositivos da Lei nº 13.755, de 10 de dezembro de 2018.",2024,PLEN,Plenário do Senado Federal
5905,Relator,2024-05-28,PDL 286/2023,"Aprova o ato que outorga autorização à Associação de Radiofusão Comunitária Alternativa FM para executar serviço de radiodifusão comunitária no Município de Peritoró, Estado do Maranhão.",2023,CCDD,Comissão de Comunicação e Direito Digital
5905,Relator,2024-05-14,MPV 1214/2024,"Abre crédito extraordinário, em favor do Ministério da Integração e do Desenvolvimento Regional, no valor de R$ 369.000.000,00, para o fim que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5905,Relator,2024-05-02,PL 471/2022,Institui o Auxílio Combustível Brasileiro (ACB) destinado a atenuar os custos da aquisição de combustíveis por motoristas profissionais autônomos e para famílias de baixa renda.,2022,CI,Comissão de Serviços de Infraestrutura
