codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5732,Relator,2023-12-20,PL 2626/2023,Institui o ano de 2023 como Ano Nacional Fernando Sabino.,2023,PLEN,Plenário do Senado Federal
5732,Relator,2021-03-26,PL 5106/2019,Institui o documento de identidade de notários e registradores e de escreventes de serventias extrajudiciais.,2019,PLEN,Plenário do Senado Federal
5732,Relator,2020-12-15,PL 2963/2019,"Regulamenta o art. 190 da Constituição Federal, altera o art.1º da Lei nº. 4.131, de 3 de setembro de 1962, o art. 1º da Lei nº 5.868, de 12 de dezembro de 1972 e o art. 6º da Lei nº 9.393, de 19 de dezembro de 1996 e dá outras providências.",2019,PLEN,Plenário do Senado Federal
5732,Relator,2020-12-12,MSF 95/2020,"Submete à consideração do Senado Federal, nos termos do art. 52, inciso III, alínea ""f"", da Constituição, combinado com o § 1º do art. 53 da Lei nº 10.233, de 2001, a escolha do Senhor RUI GOMES DA SILVA JUNIOR, para exercer, pelo prazo remanescente do mandato, o cargo de Diretor da Agência Nacional de Transportes Terrestres - ANTT, na vaga decorrente da indicação do Senhor Davi Ferreira Gomes Barreto para o cargo de Diretor-Geral da ANTT.",2020,CI,Comissão de Serviços de Infraestrutura
5732,Relator,2020-11-25,PLS 787/2015,"Altera o Decreto-Lei nº 2.848, de 07 de dezembro de 1940, (que cria o Código Penal Brasileiro) para incluir a previsão de agravantes aos crimes praticados por motivo de racismo).

",2015,PLEN,Plenário do Senado Federal
5732,Relator,2020-11-25,PL 4458/2020,"Altera as Leis nºs 11.101, de 9 de fevereiro de 2005, 10.522, de 19 de julho de 2002, e 8.929, de 22 de agosto de 1994, para atualizar a legislação referente à recuperação judicial, à recuperação extrajudicial e à falência do empresário e da sociedade empresária.",2020,PLEN,Plenário do Senado Federal
5732,Relator Ad hoc,2020-10-21,MSF 59/2020,"Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, combinado com o art. 84, inciso XIV, da Constituição Federal, o nome do Juiz do Tribunal Regional Federal da 1ª Região KASSIO NUNES MARQUES para exercer o cargo de Ministro do Supremo Tribunal Federal em vaga decorrente da aposentadoria voluntária do Ministro José Celso de Mello Filho.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5732,Relator,2020-10-16,MSF 75/2020,"Submete à apreciação do Senado Federal, em conformidade com o art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 55-D da Lei nº 13.709, de 14 de agosto de 2018, o nome da Senhora NAIRANE FARIAS RABELO LEITAO, para exercer o cargo de Diretora do Conselho Diretor da Autoridade Nacional de Proteção de Dados – ANPD, com mandato de três
anos.",2020,CI,Comissão de Serviços de Infraestrutura
5732,Relator,2020-10-16,MSF 69/2020,"Submete à apreciação do Senado Federal, em conformidade com o art. 52, inciso III, alínea ""f"", da Constituição, combinado com o art. 12 da Lei no 11.182, de 27 de setembro de 2005, o nome do Senhor JULIANO ALCÂNTARA NOMAN, para exercer o cargo de Diretor-Presidente da Agência Nacional de Aviação Civil - ANAC, na vaga decorrente do término do mandato de José Ricardo Pataro Botelho de Queiroz.",2020,CI,Comissão de Serviços de Infraestrutura
5732,Relator,2020-05-25,MPV 915/2019,Aprimora os procedimentos de gestão e alienação dos imóveis da União.,2019,PLEN,Plenário do Senado Federal
5732,Relator,2020-03-11,PL 4997/2019,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para aumentar as penas cominadas ao furto, roubo e receptação de fios, cabos ou equipamentos utilizados para o fornecimento ou transmissão de energia elétrica, telefonia ou transferência de dados.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5732,Relator,2020-03-11,PL 214/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, para criar o crime de homicídio de vulnerável e torná-lo inafiançável e imprescritível, e a Lei nº 8.072, de 25 de julho de 1990 – Lei de Crimes Hediondos, para incluir o homicídio de vulnerável no rol dos crimes hediondos.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5732,Relator,2020-03-11,PL 375/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, a Lei nº 7.210, de 11 de julho de 1984 - Lei de Execuc¸a~o Penal, a Lei nº 8.072, de 25 de julho de 1990, a Lei nº 9.296, de 24 de julho de 1996, a Lei nº 10.826, de 22 de dezembro de 2003, a Lei nº 12.850, de 2 de agosto de 2013 e a Lei nº 13.608, de 10 de janeiro de 2018, para estabelecer medidas contra a corrupção, o crime organizado e os crimes praticados com grave violência a pessoa.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5732,Relator,2020-03-11,PL 185/2020,"Altera o art. 121 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990 – Lei dos Crimes Hediondos.",2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5732,Relator,2020-03-05,PL 499/2020,Altera o Código Penal para prever aumento de pena para os crimes que antecedem o feminicídio.,2020,CCJ,"Comissão de Constituição, Justiça e Cidadania"
