codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5322,Relator,2024-06-05,PLP 146/2021,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, para prenunciar a destinação de recursos para ações de prevenção e combate aos danos causados por desastres naturais e não naturais.",2021,CAE,Comissão de Assuntos Econômicos
5322,Relator,2024-05-28,PL 1884/2024,Regulamenta o exercício das profissões de instrutor de voo livre e do piloto de voo duplo turístico de aventura.,2024,CEsp,Comissão de Esporte
5322,Relator,2024-04-24,PL 2198/2023,"Altera a Lei nº 12.764, de 27 de dezembro de 2012 (Lei Berenice Piana) e a Lei nº 8.742, de 7 de dezembro de 1993 (Lei Orgânica da Assistência Social) para instituir mecanismos de inclusão das famílias responsáveis pelos cuidados da pessoa com transtorno do espectro autista.",2023,CAE,Comissão de Assuntos Econômicos
5322,Relator,2024-04-10,PL 1024/2024,Dispõe sobre a obrigatoriedade de curso de formação para a prática do paraquedismo e sobre o exercício da profissão de instrutor de paraquedismo.,2024,CEsp,Comissão de Esporte
5322,Relator,2024-04-10,PL 4717/2020,"Altera a Lei nº 9.696, de 1 de setembro de 1998, que dispõe sobre a regulamentação da Profissão de Educação Física e cria os respectivos Conselho Federal e Conselhos Regionais de Educação Física, para assegurar ao profissional de educação física que presta serviços personalizados (personal trainer) livre acesso, sem ônus, a unidades de promoção de saúde física, academias e similares nos horários de atendimento aos seus alunos regularmente matriculados nessas unidades.",2020,CEsp,Comissão de Esporte
5322,Relator,2024-03-26,PL 2199/2022,"Estabelece a utilização do Símbolo Internacional de Acessibilidade; altera a Lei nº 7.405, de 12 de novembro de 1985; e dá outras providências.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5322,Relator,2024-03-26,PL 1881/2022,"Altera o art. 14 da Lei n° 8.069, de 13 de julho de 1990, que dispõe sobre o Estatuto da Criança e do Adolescente, para determinar a realização de pesquisas em saúde junto à população infantil.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5322,Relator,2024-03-13,PL 517/2024,"Altera a Lei nº 14.597, de 14 de junho de 2023, que institui a Lei Geral do Esporte, para estabelecer medidas de proteção ao atleta profissional, deveres e responsabilidades das organizações esportivas, bem como definir o crime de violência física e moral contra o atleta profissional e dá outras providências.",2024,CEsp,Comissão de Esporte
5322,Relator,2024-03-07,PL 3461/2023,"Altera a Lei n° 13.146, de 6 de julho de 2015, que institui a Lei Brasileira de Inclusão da Pessoa com Deficiência (Estatuto da Pessoa com Deficiência), para estabelecer o Sistema Nacional de Certificação de Inclusão no Trabalho e criar o Selo Nacional da Inclusão no Trabalho.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5322,Relator,2024-03-07,PL 4413/2023,"Altera a Lei nº 8.069, de 13 de julho de 1990, que dispõe sobre o ECA (Estatuto da Criança e do Adolescente).",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5322,Relator,2024-03-06,PL 1434/2019,"Confere o título de Capital Nacional do Incentivo às Microempresas e Pequenas Empresas ao Município de Três Rios, no Estado do Rio de Janeiro.",2019,CE,Comissão de Educação e Cultura
5322,Relator,2024-03-06,PL 1639/2022,"Confere o título de Capital Nacional do Casamento ao Município de Petrópolis, no Estado do Rio de Janeiro.",2022,CE,Comissão de Educação e Cultura
