codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6331,Relator Ad hoc,2024-07-02,PL 3618/2023,"Altera a Lei nº 12.213, de 20 de janeiro de 2010, para possibilitar ao doador de recursos aos fundos da pessoa idosa a indicação da destinação desses recursos, na forma que especifica.",2023,CAE,Comissão de Assuntos Econômicos
6331,Relator,2024-06-12,PL 2181/2023,"Confere o título de Capital Nacional da Cevada e do Malte ao Município de Guarapuava, no Estado do Paraná.",2023,CRA,Comissão de Agricultura e Reforma Agrária
6331,Relator Ad hoc,2024-05-21,PL 2784/2022,"Altera o Decreto-Lei nº 3.689, de 03 de outubro de 1941 – Código de Processo Penal, para dispor sobre os exames periciais criminais.",2022,CSP,Comissão de Segurança Pública
6331,Relator,2024-05-16,PL 226/2024,"Altera o Decreto-lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal) para dispor sobre os critérios para aferição da periculosidade do agente, geradora de riscos à ordem pública, para concessão de prisão preventiva, inclusive quando da audiência de custódia.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
6331,Relator,2024-05-08,PL 596/2023,"Concede remissão dos débitos referentes à Contribuição Social sobre o Lucro Líquido (CSLL), de que trata a Lei nº 7.689, de 15 de dezembro de 1988, relativos a fatos geradores ocorridos até 31 de dezembro de 2022, decorrentes da cessação de efeitos, de forma automática ou por meio de ação rescisória, de decisão judicial transitada em julgado.",2023,CAE,Comissão de Assuntos Econômicos
6331,Relator,2024-05-07,PDL 399/2023,"Aprova o ato que outorga autorização à Associação Comunitária de Comunicação e Cultura Som das Águas para executar serviço de radiodifusão comunitária no Município de Curitiba, Estado do Paraná.",2023,CCDD,Comissão de Comunicação e Direito Digital
6331,Relator,2024-05-07,PDL 428/2022,"Aprova o ato que renova a autorização outorgada à Associação dos Moradores do Tabuleiro para executar serviço de radiodifusão comunitária no Município de Matinhos, Estado do Paraná.",2022,CCDD,Comissão de Comunicação e Direito Digital
6331,Relator,2024-05-07,PDL 429/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Desenvolvimento Artístico e Cultural de Capitão Leônidas Marques para executar serviço de radiodifusão comunitária no Município de Capitão Leônidas Marques, Estado do Paraná.",2022,CCDD,Comissão de Comunicação e Direito Digital
6331,Relator,2024-05-07,PDL 141/2022,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Cultural Bragadense - ACCB para executar serviço de radiodifusão comunitária no Município de Pato Bragado, Estado do Paraná.",2022,CCDD,Comissão de Comunicação e Direito Digital
6331,Relator,2024-05-07,PDL 442/2022,"Aprova o ato que renova a autorização outorgada à Associação e Movimento Comunitário Vale do Tibagi para executar serviço de radiodifusão comunitária no Município de Telêmaco Borba, Estado do Paraná.",2022,CCDD,Comissão de Comunicação e Direito Digital
