codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
4560,Relator,2024-07-02,PL 16/2024,"Institui o Livro Nacional do Mérito na Segurança Pública e altera a Lei nº 13.675, de 11 de junho de 2018, que dispõe sobre a Política Nacional de Segurança Pública e Defesa Social (PNSPDS), e a Lei nº 13.756, de 12 de dezembro de 2018, que dispõe sobre o Fundo Nacional de Segurança Pública (FNSP), para dispor sobre mecanismos de reconhecimento e premiação aos profissionais de segurança pública e defesa social.",2024,CSP,Comissão de Segurança Pública
4560,Relator Ad hoc,2024-06-05,PL 2975/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), e 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir a mulher indígena na legislação de enfrentamento da violência e de promoção da saúde e da educação.",2023,CAS,Comissão de Assuntos Sociais
4560,Relator,2024-05-22,PL 624/2023,"Institui o Programa Renda Básica Energética (Rebe); e altera as Leis nºs 10.438, de 26 de abril de 2002, 14.182, de 12 de julho de 2021, e 14.300, de 6 de janeiro de 2022.",2023,CAS,Comissão de Assuntos Sociais
4560,Relator,2024-05-15,PLC 75/2018,"Institui normas para regulação do transporte rodoviário de cargas; altera as Leis nºs 10.833, de 29 de dezembro de 2003, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), 13.103, de 2 de março de 2015, 11.442, de 5 de janeiro de 2007, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); revoga os Decretos-Lei nºs 284, de 28 de fevereiro de 1967, 1.438, de 26 dezembro de 1975, 1.582, de 17 de novembro de 1977, as Leis nºs 7.290, de 19 de dezembro de 1984, 10.209, de 23 de março de 2001, 12.667, de 15 de junho de 2012, e dispositivos da Lei nº 11.442, de 5 de janeiro de 2007; e dá outras providências.",2018,CAE,Comissão de Assuntos Econômicos
4560,Relator,2024-05-14,MPV 1209/2024,"Abre crédito extraordinário, em favor dos Ministérios da Justiça e Segurança Pública; do Meio Ambiente e Mudança do Clima; do Desenvolvimento Agrário e Agricultura Familiar; da Defesa; do Desenvolvimento e Assistência Social, Família e Combate à Fome; da Pesca e Aquicultura; dos Direitos Humanos e da Cidadania; e dos Povos Indígenas, no valor de R$ 1.062.231.956,00, para os fins que especifica.",2024,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
4560,Relator,2024-05-14,PL 3714/2023,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir que sejam deduzidas da base de cálculo do Imposto sobre a Renda das Pessoas Físicas (IRPF), até o limite anual que especifica, os gastos com o tratamento veterinário de animais de estimação.",2023,CMA,Comissão de Meio Ambiente
4560,Relator,2024-05-14,PL 3726/2023,"Altera a Lei nº 9.250, de 26 de dezembro de 1995, para permitir que as doações a entidades e organizações sem fins lucrativos dedicadas à proteção de animais sejam dedutíveis do Imposto sobre a Renda das Pessoas Físicas (IRPF) devido.",2023,CMA,Comissão de Meio Ambiente
4560,Relator,2024-05-02,PL 4247/2021,"Revoga o inciso I do caput do art. 139-A da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para permitir a atividade de moto-frete independentemente da categoria de registro do veículo.",2021,CI,Comissão de Serviços de Infraestrutura
4560,Relator,2024-04-25,PL 1058/2024,"Declara Patrono da Historiografia Brasileira Francisco Adolfo de Varnhagen, o Visconde de Porto Seguro.",2024,CE,Comissão de Educação e Cultura
4560,Relator,2024-04-24,PL 1879/2022,"Cria a Política de Produção e Uso do Biogás e do Biometano, e altera a Lei nº 9.847, de 26 de outubro de 1999.",2022,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-12-07,MSF 101/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 40,000,000.00 (quarenta milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Acre e o Banco Internacional para Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao financiamento do ""Programa de sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado do Acre - PROGESTÃO Acre"".",2023,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-10-17,PL 5135/2019,"Altera a Lei nº 9.393, de 19 de dezembro de 1996, que dispõe sobre o Imposto sobre a Propriedade Territorial Rural - ITR.",2019,CRA,Comissão de Agricultura e Reforma Agrária
4560,Relator,2023-10-04,PL 4392/2023,"Altera a Lei nº 7.565, de 19 de dezembro de 1986, que dispõe sobre o Código Brasileiro de Aeronáutica, para permitir a cabotagem aérea a empresas sul-americanas na Amazônia Legal.",2023,CI,Comissão de Serviços de Infraestrutura
4560,Relator,2023-09-27,PL 4388/2023,"Altera a Lei nº 12.462, de 4 de agosto de 2011, para permitir a utilização de recursos do Fundo Nacional de Aviação Civil (FNAC) para subsidiar a aquisição do querosene de aviação comercializado em aeroportos localizados na Região Norte.",2023,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-09-14,PL 7/2022,Dispõe sobre a anistia de dívidas oriundas de operações de crédito rural do PRONAF e de dívidas provenientes de operações de Crédito Fundiário contratadas nos estados atingidos pelas enchentes em 2022.,2022,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-09-04,PL 5302/2020,"Altera as Leis nºs 11.101, de 9 de fevereiro de 2005, para assegurar a proteção aos créditos trabalhistas na falência ou recuperação judicial.",2020,CAS,Comissão de Assuntos Sociais
4560,Relator,2023-09-04,PL 2846/2020,"Altera o art. 312 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), o art. 96 da Lei nº 8.666, de 21 de junho de 1993, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990, para tipificar os crimes de peculato qualificado e de hipótese qualificada do crime de fraude em licitação ou contrato administrativo, quando a conduta recair sobre bens, valores ou mercadorias destinadas ao combate de epidemia, bem como para tornar as referidas condutas crimes hediondos.",2020,CAS,Comissão de Assuntos Sociais
4560,Relator,2023-08-31,PL 1951/2019,"Institui, para os Estados, Distrito Federal e Municípios, compensação financeira pelo resultado da exploração comercial de áreas de lançamentos de foguetes, veículos espaciais e afins em seus respectivos territórios, e dá outras providências.",2019,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-08-18,PL 1104/2023,Regulamenta o contrato de pesquisador pós-graduando.,2023,CAS,Comissão de Assuntos Sociais
4560,Relator,2023-08-04,PL 3405/2023,"Altera a Lei nº 13.756, de 12 de dezembro de 2018, para estabelecer proibições no tocante à publicidade no âmbito do sistema de apostas relativas a eventos reais de temática esportiva.",2023,CEsp,Comissão de Esporte
4560,Relator,2023-07-06,PL 2086/2022,"Altera o art. 41-B da Lei nº 10.671, de 15 de maio de 2003 (Estatuto de Defesa do Torcedor), para aumentar a pena do crime de promoção de tumulto, prática ou incitação de violência, ou invasão de local restrito aos competidores em eventos esportivos, bem como para qualificar o referido delito quando houver a efetiva utilização de arma, bomba caseira ou qualquer outro instrumento ou artefato que possa causar dano à incolumidade física de outrem.",2022,CEsp,Comissão de Esporte
4560,Relator,2023-06-26,PL 3608/2021,"Altera a Lei nº 12.232, de 29 de abril de 2010, que dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências, para exigir das empresas que veiculam publicidade da administração pública federal a divulgação de eventos esportivos não cobertos pelos meios de comunicação.",2021,CEsp,Comissão de Esporte
4560,Relator,2023-06-22,PL 1706/2019,Dispõe sobre normas gerais para concessão do Passe Livre Estudantil.,2019,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-06-02,PDS 454/2013,"Aprova o ato que outorga permissão à SINAL BRASILEIRO DE COMUNICAÇÃO S/C LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Orlândia, Estado de São Paulo.",2013,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
4560,Relator,2023-05-25,PL 2584/2019,"Altera as Leis nºs 6.830, de 22 de setembro de 1980, e 13.105, de 16 de março de 2015 (Código de Processo Civil), a fim de estabelecer a antecipação do pagamento pela Fazenda Pública das despesas com o transporte de oficiais de justiça para a realização de diligências por ela requeridas.",2019,CAE,Comissão de Assuntos Econômicos
4560,Relator,2023-05-22,PL 3608/2021,"Altera a Lei nº 12.232, de 29 de abril de 2010, que dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências, para exigir das empresas que veiculam publicidade da administração pública federal a divulgação de eventos esportivos não cobertos pelos meios de comunicação.",2021,CE,Comissão de Educação e Cultura
