codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
6338,Relator,2024-07-09,PL 126/2022,"Altera a Lei nº 8.472, de 7 de dezembro de 1993, que dispõe sobre a organização da Assistência Social e dá outras providências.",2022,CAS,Comissão de Assuntos Sociais
6338,Relator,2024-07-09,PL 4088/2020,"Dispõe sobre o remanejamento, a transposição e a transferência, por parte dos Estados, do Distrito Federal e dos Municípios, de saldos financeiros não aplicados decorrentes de repasses de natureza vinculada realizados com fundamento em atos legais e infralegais federais expedidos durante o estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020.",2020,CAS,Comissão de Assuntos Sociais
6338,Relator,2024-07-09,PDL 94/2021,"Susta o Decreto nº 10.620, de 5 de fevereiro de 2021, que “Dispõe sobre a competência para a concessão e a manutenção das aposentadorias e pensões do regime próprio de previdência social da União no âmbito da administração pública federal.”",2021,CAS,Comissão de Assuntos Sociais
6338,Relator,2024-07-09,PL 1303/2024,"Altera a Lei nº 13.722, de 4 de outubro de 2018, que torna obrigatória a capacitação em noções básicas de primeiros socorros de professores e funcionários de estabelecimentos de ensino públicos e privados de educação básica e de estabelecimentos de recreação infantil, para inserir previsão de distribuição proporcional dos profissionais capacitados durante todo o período de atividades letivas.",2024,CAS,Comissão de Assuntos Sociais
6338,Relator,2024-06-28,PL 2077/2024,"Altera a Lei nº 13.575, de 26 de dezembro de 2017, para dispor sobre o percentual de receitas sobre a lavra de recursos minerais que deverá ser investido em pesquisa e inovação e para criar Taxa de Fiscalização de atividades Minerais (TFAM) e encargo setorial.",2024,CCT,"Comissão de Ciência, Tecnologia, Inovação e Informática"
6338,Relator,2024-06-25,PL 2411/2024,Institui a Política Nacional de Alfabetização e Educação de Jovens e Adultos (PNAEJA).,2024,CE,Comissão de Educação e Cultura
6338,Relator,2024-06-12,PL 1205/2023,Reconhece como patrimônio cultural material do Brasil o acervo jornalístico do Diario de Pernambuco.,2023,CE,Comissão de Educação e Cultura
6338,Relator Ad hoc,2024-06-06,PL 932/2024,"Confere ao município da Estância Turística de Itu, do estado de São Paulo, o Título de “Capital Nacional do Berço da República”.",2024,CDD,Comissão de Defesa da Democracia
6338,Relator,2024-06-05,PL 2219/2022,"Altera a Lei nº 10.753, de 30 de outubro de 2003, para incluir, na Política Nacional do Livro, medidas de estímulo à criação, à manutenção e à atualização de bibliotecas públicas e escolares, e as Leis nºs 8.313, de 23 de dezembro de 1991, e 12.462, de 4 de agosto de 2011.",2022,CAE,Comissão de Assuntos Econômicos
6338,Relator,2024-06-05,PL 4660/2019,"Altera a Lei nº 10.753, de 30 de outubro de 2003, para incluir, na Política Nacional do Livro, medidas de estímulo à criação, manutenção e atualização de bibliotecas públicas e escolares.",2019,CAE,Comissão de Assuntos Econômicos
6338,Relator Ad hoc,2024-05-21,PL 1227/2023,"Altera a Lei nº 14.555, de 25 de abril de 2023, para reconhecer as quadrilhas juninas como manifestação da cultura nacional.",2023,CE,Comissão de Educação e Cultura
