codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5899,Relator,2024-07-12,PDL 206/2024,"Susta parcialmente o Decreto nº 11.615, de 21 de julho de 2023, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, a qual dispõe sobre registro, posse e comercialização de armas de fogo e munição.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5899,Relator,2024-06-12,PL 3100/2023,"Altera a Lei nº 7.827, de 29 de setembro 1989, que regulamenta o art. 159, inciso I, alínea c, da Constituição Federal, institui o Fundo Constitucional de Financiamento do Norte – FNO, o Fundo Constitucional de Financiamento do Nordeste – FNE e o Fundo Constitucional de Financiamento do Centro – Oeste – FCO, para autorizar a utilização de percentual de recursos no Programa Nacional de Crédito Fundiário.",2023,CRA,Comissão de Agricultura e Reforma Agrária
5899,Relator,2024-05-23,PL 2529/2021,"Acrescenta inciso ao caput do art. 4º da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para assegurar ao servidor da educação básica pública o direito de matricular seus dependentes na escola de sua lotação.",2021,CE,Comissão de Educação e Cultura
5899,Relator,2024-05-09,OFS 1/2024,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, inciso XII, da Constituição Federal, a indicação do Senhor MARCELLO TERTO E SILVA, para compor o Conselho Nacional de Justiça - CNJ, na vaga destinada à OAB.",2024,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5899,Relator,2024-04-18,PDS 225/2017,"Aprova o ato que renova a autorização outorgada à ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE CATALÃO para executar serviço de radiodifusão comunitária no Município de Catalão, Estado de Goiás.",2017,CCDD,Comissão de Comunicação e Direito Digital
5899,Relator,2024-04-18,PDL 162/2019,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Voz da Promissão Mega FM de Divinópolis de Goiás para executar serviço de radiodifusão comunitária no Município de Divinópolis de Goiás, Estado de Goiás.",2019,CCDD,Comissão de Comunicação e Direito Digital
5899,Relator,2024-04-18,PDL 450/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária Pró-Desenvolvimento de Simolândia para executar serviço de radiodifusão comunitária no Município de Simolândia, Estado de Goiás.",2019,CCDD,Comissão de Comunicação e Direito Digital
5899,Relator,2024-04-18,PDS 216/2017,"Aprova o ato que outorga autorização à ASSOCIAÇÃO CULTURAL DE ARENÓPOLIS para executar serviço de radiodifusão comunitária no Município de Arenópolis, Estado de Goiás.",2017,CCDD,Comissão de Comunicação e Direito Digital
5899,Relator,2024-04-18,PDL 394/2022,"Aprova o ato que renova a permissão outorgada à Fundação L'Hermitage para executar serviço de radiodifusão sonora em onda média, posteriormente adaptado para serviço de radiodifusão sonora em frequência modulada, no Município de Silvânia, Estado de Goiás.",2022,CCDD,Comissão de Comunicação e Direito Digital
5899,Relator,2024-02-26,PL 6232/2023,"Acrescenta art. 15-B à Lei nº 10.356, de 27 de dezembro de 2001, para instituir o Adicional de Especialização e Qualificação aos servidores do quadro de pessoal da Secretaria do Tribunal de Contas da União.",2023,CAE,Comissão de Assuntos Econômicos
