codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5411,Relator,2024-07-09,DEN 1/2024,"Requer a abertura de procedimento disciplinar (Denúncia) em face do Senador Jorge Kajuru, com fundamento no art. 55 da Constituição Federal; no art. 19 do Regimento Interno do Senado Federal; e na Resolução do Senado Federal nº 20, de 1993.",2024,CEDP,Conselho de Ética e Decoro Parlamentar
5411,Relator,2024-07-09,PL 5516/2023,"Altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1943 atualiza as Leis nº 605, de 5 de janeiro de 1949 e nº 10.101, de 19 de dezembro de 2000, de forma a estabelecer o descanso semanal renumerado preferencialmente aos domingos e autorizar o trabalho aos domingos e aos feriados, com remuneração em dobro, exceto se determinado outro dia de folga compensatória na mesma semana de trabalho.",2023,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PDL 404/2023,"Susta a Portaria/MPT nº 3.665, de 13 de novembro de 2023, do Ministério do Trabalho e Emprego (MTE), que alterou o regramento para o expediente no setor de comércio durante feriados.",2023,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PDL 410/2023,"Susta os efeitos da portaria nº 3.665, de 13 de novembro de 2023, que altera a Portaria/MTP nº 671, de 8 de novembro de 2021.",2023,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PDL 409/2023,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Portaria nº 3.665, de 13 de Novembro de 2023, do Ministério do Trabalho e Emprego, que revoga os subitens 1, 2, 4, 5, 6, 17, 18, 19, 23, 25, 27 e 28, do item II - Comércio, do Anexo IV, bem como altera o subitem 14, do item II - Comércio, do Anexo IV, da Portaria/MTP nº 671, de 8 de novembro de 2021.",2023,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PL 2314/2024,"Altera o art. 75-F da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre o dever do empregador de, na alocação em vagas para atividades que possam ser efetuadas por meio do teletrabalho ou trabalho remoto, dar prioridade ao empregado que seja acompanhante de paciente em situação de internação.",2024,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PL 1668/2024,Incluir o parágrafo 5º no artigo 15 da Lei nº 8213/1991 que trata do plano de benefícios da Previdência Social para prever obrigação do INSS comunicar as empresas sobre andamentos de situações previdenciárias envolvendo seus empregados.,2024,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-07-09,PL 1666/2024,"Altera o artigo 135 do Decreto Lei nº 5.452, de 1º de maio de 1943 - Consolidação das Leis do Trabalho.",2024,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-06-26,RQS 396/2024,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre os contratos de planos de saúde rescindidos unilateralmente pelas operadoras de planos de saúde.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-25,RQS 432/2024,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre a destinação de recursos para o atendimento de pessoas com transtorno do espectro autista no âmbito do Sistema Único de Saúde (SUS).",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-24,PLP 192/2023,"Altera a Lei Complementar nº 64, de 18 de maio de 1990, e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5411,Relator,2024-06-05,PL 5103/2019,"Prorroga o prazo dos benefícios fiscais previstos nos arts. 1º e 1º-A da Lei nº 8.685, de 20 de julho de 1993, e no art. 44 da Medida Provisória nº 2.228-1, de 6 de setembro de 2001.",2019,CAE,Comissão de Assuntos Econômicos
5411,Relator,2024-06-05,RQS 334/2024,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre as ações que estão sendo realizadas para assistência às vítimas das enchentes no Rio Grande do Sul.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-03,RQS 356/2024,"Requer informações à Senhora Esther Dweck, Ministra de Estado da Gestão e da Inovação em Serviços Públicos, sobre as condições de integração das representações das carreiras que compõem a Estrutura Remuneratória dos Cargos Específicos (ERCE) do Poder Executivo Federal à Mesa Nacional Permanente de Negociação (MNPN).",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-03,RQS 355/2024,"Requer informações à Senhora Nísia Verônica Trindade Lima, Ministra de Estado da Saúde, sobre o  fornecimento do insumo Canabidiol, sob demanda judicial, para pacientes do Sistema Único de Saúde.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-03,RQS 354/2024,"Requer informações ao Senhor Fernando Haddad, Ministro de Estado da Fazenda, sobre o pagamento de contribuições ao Regime Geral de Previdência Social (RGPS) pelo Poder Executivo do Estado de Rondônia.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-06-03,RQS 351/2024,"Requer informações ao Senhor Paulo Pimenta, Ministro de Estado da Secretaria de Comunicação Social da Presidência da República, sobre denúncias de milícias digitais no governo Lula.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-05-29,PLS 49/2017,"Altera a Lei nº 11.282, de 23 de fevereiro de 2006, que anistia os trabalhadores da Empresa Brasileira de Correios e Telégrafos – ECT punidos em razão da participação em movimento grevista.",2017,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5411,Relator,2024-05-21,PL 3268/2020,"Altera a Lei nº 6.009, de 26 de dezembro de 1973, para estender as isenções do pagamento das tarifas aeroportuárias às aeronaves públicas brasileiras da Administração Direta Federal, Estadual, Municipal e do Distrito Federal.",2020,CAE,Comissão de Assuntos Econômicos
5411,Relator,2024-05-08,PL 3141/2023,Cria o Programa Cartão Reconstruir e dá outras providências.,2023,CAE,Comissão de Assuntos Econômicos
5411,Relator Ad hoc,2024-05-08,PL 1803/2023,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5411,Relator,2024-05-08,PL 1144/2024,"Dispõe sobre regras aplicáveis às vantagens pessoais nominalmente identificáveis dos servidores ativos, inativos e pensionistas do Quadro de Pessoal do Senado Federal.",2024,PLEN,Plenário do Senado Federal
5411,Relator,2024-05-07,PL 1127/2024,"Altera a Lei nº 12.023, de 27 de agosto de 2009, para permitir a criação do órgão de gestão de mão de obra rural (OGMOR) e o art. 11 da Lei nº 8.213, de 24 de julho de 1991.",2024,CRA,Comissão de Agricultura e Reforma Agrária
5411,Relator,2024-05-06,PL 287/2024,"Dispõe sobre a Estratégia Nacional de Controle e Avaliação da Qualidade da Assistência à Saúde prestada pela Iniciativa Privada, e altera a Lei nº 9.782, de 26 de janeiro de 1999, que define o Sistema Nacional de Vigilância Sanitária, cria a Agência Nacional de Vigilância Sanitária, e dá outras providências.",2024,CAS,Comissão de Assuntos Sociais
5411,Relator,2024-05-02,PL 4519/2019,"Altera o art. 109 da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para dispor sobre o transporte de cargas consideradas itens pessoais no interior de veículo destinado ao transporte de passageiros.",2019,CI,Comissão de Serviços de Infraestrutura
5411,Relator,2024-04-30,PL 1768/2023,"Dispõe sobre a repactuação de dívidas oriundas de operações de crédito rural; altera a Lei nº 13.340, de 28 de setembro de 2016; e dá outras providências.",2023,CAE,Comissão de Assuntos Econômicos
5411,Relator,2024-04-29,PL 4015/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de lesão corporal dolosa contra eles, desde que no exercício da função ou em decorrência dela, ou contra seu cônjuge, companheiro ou parente, inclusive por afinidade, até o terceiro grau, em razão dessa condição.",2023,PLEN,Plenário do Senado Federal
5411,Relator,2024-04-24,PL 5523/2023,"Altera a Lei nº 11.076, de 30 de dezembro de 2004, para permitir que as instituições financeiras utilizem como lastro de LCA de sua emissão, título de crédito representativo de repasse interfinanceiro.",2023,CAE,Comissão de Assuntos Econômicos
5411,Relator,2024-04-24,RQS 264/2024,"Requer informações à Senhora Esther Dweck, Ministra de Estado da Gestão e da Inovação em Serviços Públicos, sobre a abertura de mesa de negociação para aprovação de plano de cargos e salários da Sudam.",2024,CDIR,Comissão Diretora do Senado Federal
5411,Relator,2024-04-24,REQ 11/2024 - CTFC,"Requer que sejam prestadas, pelo Exmo. Sr. Ministro de Estado da Fazenda, Fernando Haddad, informações acerca da compensação devida pela União Federal com relação às perdas financeiras do Estado do Maranhão e dos Municípios do Maranhão frutos da Lei Complementar nº 201/2023 - a partir da redução da carga tributária estadual sobre combustíveis e energia elétrica oriundos da Lei Complementar nº 194/2022.",2024,CDIR,Comissão Diretora do Senado Federal
