codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5070,Relator,2024-06-05,PL 1227/2019,"Altera a Lei n.º 7.713, de 22 de dezembro de 1988.",2019,CAE,Comissão de Assuntos Econômicos
5070,Relator,2024-05-23,PL 1711/2024,Inscreve o nome de Alberto Martins Torres no Livro dos Heróis e Heroínas da Pátria.,2024,CE,Comissão de Educação e Cultura
5070,Relator Ad hoc,2024-05-21,PL 1058/2024,"Declara Patrono da Historiografia Brasileira Francisco Adolfo de Varnhagen, o Visconde de Porto Seguro.",2024,CE,Comissão de Educação e Cultura
5070,Relator,2024-02-26,PL 3231/2023,Institui o Dia Nacional do Imigrante Grego.,2023,CE,Comissão de Educação e Cultura
5070,Relator,2024-02-23,PL 1533/2023,"Altera o art. 98 da Lei nº 8.171, de 17 de janeiro de 1991, para dispor sobre o uso das faixas de domínio ao longo das rodovias.",2023,CI,Comissão de Serviços de Infraestrutura
5070,N/I,2023-11-01,PLN 29/2023,Estima a receita e fixa a despesa da União para o exercício financeiro de 2024.,2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5070,Relator,2023-10-05,PLP 257/2020,"Altera a Lei Complementar nº 129, de 8 de janeiro de 2009, para ampliar a representação empresarial no Conselho Deliberativo do Desenvolvimento do Centro-Oeste – CONDEL/SUDECO.",2020,CDR,Comissão de Desenvolvimento Regional e Turismo
5070,Relator Revisor,2023-09-21,MPV 1177/2023,"Abre crédito extraordinário, em favor do Ministério da Agricultura e Pecuária, no valor de R$ 200.000.000,00, para o fim que especifica.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5070,Relator,2023-09-21,PLN 26/2023,"Abre ao Orçamento Fiscal da União, em favor do Ministério da Defesa, crédito suplementar no valor de R$ 39.700.000,00, para reforço de dotações constantes da Lei Orçamentária vigente.",2023,CMO,"Comissão Mista de Planos, Orçamentos Públicos e Fiscalização"
5070,Relator,2023-09-20,PL 2791/2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que dispõe sobre a Política Nacional de Segurança de Barragens (PNSB), e o Decreto-Lei nº 227, de 28 de fevereiro de 1967 (Código de Minas).",2019,CI,Comissão de Serviços de Infraestrutura
5070,Relator,2023-08-11,PL 3505/2023,"Dispõe sobre a criação da Universidade Federal de Rio Verde (UFRV), por desmembramento do campus Rio Verde do Instituto Federal Goiano.",2023,CE,Comissão de Educação e Cultura
5070,Relator,2023-08-10,PL 3229/2023,"Altera a Lei nº 12.587, de 3 de janeiro de 2012, que institui as diretrizes da Política Nacional de Mobilidade Urbana, para dispor sobre a elaboração do Plano de Mobilidade Urbana pelos Municípios.",2023,CI,Comissão de Serviços de Infraestrutura
5070,Relator,2023-06-07,PL 1280/2019,Estabelece condições especiais de financiamento para a aquisição de veículo utilitário por profissional de ciências agrárias.,2019,CAE,Comissão de Assuntos Econômicos
5070,Relator,2023-06-07,PL 2103/2019,"Obriga a fixação de placas ou adesivos, nas entradas das instituições públicas e dos estabelecimentos comerciais, com orientação sobre a entrada e a permanência de animais domésticos.",2019,CAE,Comissão de Assuntos Econômicos
5070,Relator,2023-06-01,PL 6296/2019,"Altera a Lei nº 8.987, de 13 de fevereiro de 1995, e a Lei nº 11.079, de 30 de dezembro de 2004, para estabelecer que, nos setores rodoviário, ferroviário, hidroviário e aeroportuário da administração pública federal, os recursos arrecadados em pagamento pela outorga da concessão, pela sua renovação e prorrogação serão investidos, preferencialmente, na unidade da Federação onde se localiza a rodovia, a ferrovia, o porto ou aeroporto concedido.",2019,CI,Comissão de Serviços de Infraestrutura
5070,Relator,2023-05-22,PL 2223/2021,Autoriza o Poder Executivo a transformar o Campus Universitário do Médio Araguaia da Universidade Federal de Mato Grosso (UFMT) em Universidade Federal do Araguaia em Mato Grosso e dá outras providências.,2021,CE,Comissão de Educação e Cultura
5070,Relator,2023-05-10,PL 2390/2022,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, para criar causas de aumento de pena para os crimes de lesão corporal, contra a honra, de ameaça e de desacato, quando cometidos contra profissional da área de atenção à saúde, no exercício de sua profissão ou em decorrência dela.",2022,CAS,Comissão de Assuntos Sociais
5070,Relator,2023-05-10,PL 1533/2023,"Altera o art. 98 da Lei nº 8.171, de 17 de janeiro de 1991, para dispor sobre o uso das faixas de domínio ao longo das rodovias.",2023,CRA,Comissão de Agricultura e Reforma Agrária
