codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
5783,Relator,2024-07-09,PL 5090/2020,"Torna obrigatória a realização de exame clínico destinado a identificar a Fibrodisplasia Ossificante Progressiva (FOP) nos recém-nascidos na triagem neonatal das redes pública e privada de saúde, com cobertura do Sistema Único de Saúde (SUS).",2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-07-09,PL 2671/2021,Institui a Semana Nacional em Apoio e Defesa dos Direitos das Vítimas da Covid-19.,2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-07-09,PL 205/2022,"Institui a campanha de saúde pública Junho Vermelho, para estimular o desenvolvimento pelo poder público de ações de incentivo à doação de sangue.",2022,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-07-03,PL 1764/2024,"Dispõe sobre ações relacionadas ao enfrentamento do parto prematuro e institui o Novembro Roxo, o Dia Nacional da Prematuridade e a Semana da Prematuridade.",2024,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-07-02,PLP 72/2024,"Altera a Lei Complementar nº 141, de 13 de janeiro de 2012, que regulamenta o § 3º do art. 198 da Constituição Federal, para dispor sobre as despesas de custeio e de investimento com os hospitais universitários federais, para fins de apuração do gasto mínimo constitucional em saúde.",2024,PLEN,Plenário do Senado Federal
5783,Relator,2024-06-19,PL 1815/2024,"Altera a Lei nº 10.820, de 17 de dezembro de 2003, que dispõe sobre a autorização para desconto de prestações em folha de pagamento, e dá outras providências, e a Lei nº 14.509, de 27 de dezembro de 2022, que dispõe sobre o percentual máximo aplicado para a contratação de operações de crédito com desconto automático em folha de pagamento; altera a Lei nº 14.431, de 3 de agosto de 2022; revoga dispositivos da Lei nº 8.112, de 11 de dezembro de 1990; e dá outras providências, para suspender, por 180 (cento e oitenta) dias, o pagamento das obrigações de operações de créditos consignados em benefícios previdenciários de aposentados e pensionistas abrangidos pelo reconhecimento de estado de calamidade pública objeto do Decreto Legislativo nº 36, de 7 de maio de 2024.",2024,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-06-13,PL 1796/2024,"Altera a Lei nº 6.202, de 17 de abril de 1975, para assegurar a oferta de ensino remoto às estudantes gestantes e lactantes até um ano de idade da criança.",2024,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-06-04,PLP 72/2024,"Altera a Lei Complementar nº 141, de 13 de janeiro de 2012, que regulamenta o § 3º do art. 198 da Constituição Federal, para dispor sobre as despesas de custeio e de investimento com os hospitais universitários federais, para fins de apuração do gasto mínimo constitucional em saúde.",2024,CAE,Comissão de Assuntos Econômicos
5783,Relator,2024-05-20,PL 1445/2022,"Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), a Lei nº 13.146, de 6 de julho de 2015 (Lei Brasileira de Inclusão da Pessoa com Deficiência), e a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto do Idoso), para aumentar a multa cobrada, do dobro até o quíntuplo, em caso de reincidência de infração de trânsito por estacionar nas vagas reservadas às pessoas com deficiência ou idosos, sem credencial que comprove tal condição, e para instituir pagamento de indenização por dano moral difuso.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator Ad hoc,2024-05-15,PL 10/2022,Modifica a Consolidação das Leis do Trabalho (CLT) para regulamentar o regime híbrido de trabalho.,2022,CAS,Comissão de Assuntos Sociais
5783,Relator Ad hoc,2024-05-15,PL 2028/2020,"Destina 80% (oitenta por cento) dos valores referentes ao produto ou proveito decorrente da prática de crime de tráfico ilícito de drogas ou de lavagem de dinheiro, apreendidos ou recuperados no Brasil ou no exterior, para ações de enfrentamento da emergência de saúde pública de importância internacional decorrente do coronavírus (Covid-19).",2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-05-06,PL 701/2024,Estabelece regras sobre prescrição e fornecimento de lentes oftálmicas com função corretiva ou terapêutica.,2024,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-05-06,PL 6231/2023 (Substitutivo-CD),"Altera a Lei nº 11.664, de 29 de abril de 2008, para incluir a realização de exames de identificação de biomarcadores entre as ações destinadas à detecção precoce das neoplasias malignas de mama.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-05-06,PL 1100/2021,"Altera as Leis nºs 7.713, de 22 de dezembro de 1988, e 8.213, de 24 de julho de 1991, para conceder isenção de imposto sobre a renda e dispensar o período de carência para obtenção de benefícios previdenciários por incapacidade para pessoas acometidas de complicações e sequelas graves decorrentes da Covid-19.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-05-06,PL 5181/2023,"Altera a Lei n° 11.664, de 29 de abril de 2008, para assegurar, no âmbito do Sistema Único de Saúde – SUS, a realização de testes genéticos para mulheres pertencentes aos grupos de alto risco, objetivando a identificação de mutações hereditárias associadas ao aumento de probabilidade de neoplasias malignas de ovário, mama e colorretal.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-04-24,PL 4673/2023,Dispõe sobre a concessão de assistência financeira temporária aos artesãos.,2023,CAE,Comissão de Assuntos Econômicos
5783,Relator,2024-04-18,PDL 965/2021,"Aprova o ato que renova a autorização outorgada à Fundação José Ribamar Lunguinho de Desenvolvimento para executar serviço de radiodifusão comunitária no Município de São Francisco do Oeste, Estado do Rio Grande do Norte.",2021,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 491/2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação e Cultura de Apodi - RN para executar serviço de radiodifusão comunitária no Município de Apodi, Estado do Rio Grande do Norte.",2019,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 489/2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária Nossa FM para executar serviço de radiodifusão comunitária no Município de São Rafael, Estado do Rio Grande do Norte.",2019,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 426/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Comunicação Manairama para executar serviço de radiodifusão comunitária no Município de Ouro Branco, Estado do Rio Grande do Norte.",2021,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 971/2021,"Aprova o ato que renova a autorização outorgada à Associação Rádio FM Comunitária Cidade Progresso para executar serviço de radiodifusão comunitária no Município de Pendências, Estado do Rio Grande do Norte.",2021,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 145/2022,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária Santana FM para executar serviço de radiodifusão comunitária no Município de Natal, Estado do Rio Grande do Norte.",2022,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 968/2021,"Aprova o ato que renova a autorização outorgada à Associação Assistencial Cultural Irmã Eliza para executar serviço de radiodifusão comunitária no Município de Coronel Ezequiel, Estado do Rio Grande do Norte.",2021,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator,2024-04-18,PDL 1054/2021,"Aprova o ato que renova a autorização outorgada à Associação Rádio Comunitária de Campo Redondo/RN para executar serviço de radiodifusão comunitária no Município de Campo Redondo, Estado do Rio Grande do Norte.",2021,CCDD,Comissão de Comunicação e Direito Digital
5783,Relator Ad hoc,2024-04-16,PL 3126/2021,"Altera o § 3º do art. 213 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente) para admitir a cobrança de multa por descumprimento de decisão judicial antes do trânsito em julgado.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-03-26,PL 1054/2020,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), para dispor sobre os recursos previstos para os programas de promoção e difusão da participação política das mulheres.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-03-08,PL 3595/2019,"Institui percentual de vagas para contratação de mulheres em situação de violência doméstica ou vulnerabilidade social no âmbito dos contratos de terceirização da Administração Pública Federal direta, autárquica e fundacional e das empresas públicas e das sociedades de economia mista controladas pela União.",2019,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5783,Relator,2024-03-07,PL 309/2023,Dispõe sobre a capacitação das equipes de todos os níveis de atenção à saúde em procedimentos especializados e qualificados de atenção a mulheres vítimas de violência.,2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-03-07,PL 4167/2023,"Acrescenta parágrafo único ao art. 26-G da Lei nº 8.080 de 19 de setembro de 1990, a fim de vedar a realização de qualquer procedimento de natureza abortiva na modalidade telessaúde.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-03-06,PL 5099/2023,"Altera a Lei nº 11.634, de 27 de dezembro de 2007, que dispõe sobre o direito da gestante ao conhecimento e a vinculação à maternidade onde receberá assistência no âmbito do Sistema Único de Saúde, para garantir à mulher cuja gestação termine em abortamento ou em morte perinatal o direito a permanecer em área distinta daquela onde estão alojadas as mães acompanhadas de nascituros.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator Ad hoc,2024-02-28,PL 11/2021,Dispõe sobre medidas punitivas aplicáveis a quem desrespeitar a ordem de vacinação estabelecida pelo Poder Público para combater pandemia.,2021,CAS,Comissão de Assuntos Sociais
5783,Relator Ad hoc,2024-02-28,PL 14/2021,"Altera a redação da Lei 13.979, de 6 de fevereiro de 2020, para tipificar o crime de fraude à ordem de preferência de imunização contra o Coronavírus e estabelecer vigência para o tipo penal.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator Ad hoc,2024-02-27,PL 3663/2023,Inscreve o nome de Pedro Jorge de Melo e Silva no Livro dos Heróis e Heroínas da Pátria.,2023,CE,Comissão de Educação e Cultura
5783,Relator,2024-02-22,PL 547/2022,Estabelece o direito à cota em dobro para mães solo nos benefícios do Auxílio Brasil.,2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2024-02-21,PL 5328/2023,Estabelece prioridade para as indústrias que produzem fármacos no território nacional nas compras realizadas por laboratórios públicos.,2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 119/2019,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para estabelecer a atenção humanizada como princípio no âmbito do Sistema Único de Saúde (SUS).",2019,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 4615/2019,"Altera a Lei nº 9.782, de 26 de janeiro de 1999, para prever a transparência e a ampla publicidade das pesquisas clínicas autorizadas e em desenvolvimento no território nacional que envolvam medicamentos para o tratamento do câncer.",2019,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 3060/2021,"Institui, em âmbito nacional, o Agosto Azul e Vermelho como mês dedicado a informar a população sobre os cuidados com a saúde vascular e a incentivar a prevenção e o tratamento de doenças vasculares.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 3900/2020,"Altera a Lei nº 1.074, de 24 de março de 1950, que cria a Ordem do Mérito Médico, a fim de ampliar a outras categorias profissionais de saúde a elegibilidade à homenagem.",2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PDL 404/2023,"Susta a Portaria/MPT nº 3.665, de 13 de novembro de 2023, do Ministério do Trabalho e Emprego (MTE), que alterou o regramento para o expediente no setor de comércio durante feriados.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PDL 409/2023,"Susta, nos termos do inciso V do art. 49 da Constituição Federal, a Portaria nº 3.665, de 13 de Novembro de 2023, do Ministério do Trabalho e Emprego, que revoga os subitens 1, 2, 4, 5, 6, 17, 18, 19, 23, 25, 27 e 28, do item II - Comércio, do Anexo IV, bem como altera o subitem 14, do item II - Comércio, do Anexo IV, da Portaria/MTP nº 671, de 8 de novembro de 2021.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PDL 410/2023,"Susta os efeitos da portaria nº 3.665, de 13 de novembro de 2023, que altera a Portaria/MTP nº 671, de 8 de novembro de 2021.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 3072/2022,"Altera a Lei nº 9.797, de 6 de maio de 1999, para dispor sobre o direito à informação a respeito da possibilidade de realização da cirurgia plástica reparadora da mama no caso de mutilação decorrente de tratamento de câncer.",2022,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 6064/2023,"Dispõe sobre o direito a indenização por dano moral e a concessão de pensão especial à pessoa com deficiência permanente decorrente de síndrome congênita associada à infecção pelo vírus Zika ou de Síndrome de Guillain-Barré causada pelo vírus Zika; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 8.742, de 7 de dezembro de 1993, e 8.213, de 24 de julho de 1991.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 5647/2023,"Altera o art. 473 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e o art. 97 da Lei nº 8.112, de 11 de dezembro de 1990, para prever a possibilidade de o empregado e o servidor público federal se ausentarem do serviço, sem prejuízo do salário, para acompanhar em consultas médicas, exames complementares, internação hospitalar ou em tratamento que exija observação permanente, o filho, tutelado ou qualquer outra pessoa que esteja sob sua responsabilidade legal, até os 14 (quatorze) anos de idade; ou os pais, acima de 65 (sessenta e cinco) anos de idade, que possuam incapacidade locomotora ou intelectual, devidamente comprovada mediante atestado médico.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2024-02-21,PL 5380/2023,"Altera a Lei nº 13.103, de 2 de março de 2015, para exigir, nos contratos de concessão de exploração de rodovias, a construção de bases de descanso para caminhoneiros, nas condições que especifica.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-12-12,PL 3466/2023,Institui o Dia Nacional do Hematologista e do Hemoterapeuta.,2023,CAS,Comissão de Assuntos Sociais
5783,Relator Ad hoc,2023-12-12,MSF 101/2023,"Solicita, nos termos do art. 52, incisos V, VII e VIII, da Constituição, autorização para contratação de operação de crédito externo, com a garantia da República Federativa do Brasil no valor de US$ 40,000,000.00 (quarenta milhões de dólares dos Estados Unidos da América), de principal, entre o Governo do Estado do Acre e o Banco Internacional para Reconstrução e Desenvolvimento - BIRD, cujos recursos destinam-se ao financiamento do ""Programa de sustentabilidade Fiscal, Eficiência e Eficácia do Gasto Público do Estado do Acre - PROGESTÃO Acre"".",2023,CAE,Comissão de Assuntos Econômicos
5783,Relator,2023-11-10,OFS 22/2023,"Submete à apreciação do Senado Federal, nos termos do art. 103-B, incisos VI e VII, da Constituição Federal, a indicação da Senhora DANIELA PEREIRA MADEIRA, para compor o Conselho Nacional de Justiça - CNJ, no biênio 2023/2025.",2023,CCJ,"Comissão de Constituição, Justiça e Cidadania"
5783,Relator,2023-10-18,PL 4673/2023,Dispõe sobre a concessão de assistência financeira temporária aos artesãos.,2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-16,PL 130/2019,"Altera os arts. 8º e 10 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para ampliar a assistência à gestante e à mãe no período da gravidez, do pré-natal e do puerpério.",2019,PLEN,Plenário do Senado Federal
5783,Relator,2023-10-03,PLS 313/2015,"Modifica o § 1º do art. 477 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre a interveniência de sindicato ou de autoridade administrativa na rescisão de contrato de trabalho de empregado com mais de três meses de serviço.",2015,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-03,PL 4400/2023,"Altera o Decreto-Lei nº 5.452, de 1º de maio de 1943, que aprova a Consolidação das Leis do Trabalho, para definir sobre falta para doação de sangue.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-03,PL 4274/2020,Dispõe sobre a obrigatoriedade da aferição da pressão arterial (teste do bracinho) em crianças a partir de três anos de idade.,2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-03,PL 4270/2021,"Altera a Lei nº 11.129, de 30 de junho de 2005, que Institui o Programa Nacional de Inclusão de Jovens – ProJovem; cria o Conselho Nacional da Juventude – CNJ e a Secretaria Nacional de Juventude; altera as Leis nº s 10.683, de 28 de maio de 2003, e 10.429, de 24 de abril de 2002; e dá outras providências, para dispor sobre a certificação da Residência Multiprofissional em Saúde e a Residência em Área Profissional da Saúde e sobre sua validade nas provas de títulos dos concursos públicos no âmbito do Sistema Único de Saúde - SUS.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-03,PL 2944/2020,Altera a Lei 8.213 de Julho de 1991 para conceder pensão vitalícia ao cônjuge ou companheiro do segurado falecido em decorrência do Covid-19 no exercício de suas funções profissionais.,2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-10-03,PDL 203/2023,"Susta os efeitos da Resolução nº 715, de 20 de julho de 2023, do Conselho Nacional de Saúde, que trata das “orientações estratégicas para o Plano Plurianual (PPA) e para o Plano Nacional de Saúde (PNS) 2024-2027”.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-25,PL 523/2022,"Altera a Lei nº 10.741, de 1 de outubro de 2003 (Estatuto do Idoso), para dispor sobre o direito do idoso ao acesso à justiça e a serviços, públicos ou privados, sem a intermediação de plataformas digitais.",2022,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2023-09-22,PDL 183/2021,"Susta a Portaria nº 13, de 19 de abril de 2021, da Secretaria de Ciência, Tecnologia, Inovação e Insumos Estratégicos em Saúde, do Ministério da Saúde, que torna pública a decisão de incorporar o implante subdérmico de etonogestrel, condicionada à criação de programa específico, na prevenção da gravidez não planejada para mulheres em idade fértil: em situação de rua; com HIV/AIDS em uso de dolutegravir; em uso de talidomida; privadas de liberdade; trabalhadoras do sexo; e em tratamento de tuberculose em uso de aminoglicosídeos, no âmbito do Sistema Único de Saúde – SUS.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-18,PL 3093/2023,"Acrescenta o § 4º ao art. 429 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para dispor sobre a oferta de vagas de aprendizes a adolescentes que estejam em regime de acolhimento familiar ou institucional.",2023,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2023-09-18,PL 1333/2021,"Acrescenta art. 83-A à Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), para reservar, quando da renovação de dois terços do Senado Federal, uma vaga para candidaturas masculinas e outra vaga para candidaturas femininas.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2023-09-18,PL 763/2021,"Altera a Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), para estabelecer a reserva de, ao menos, trinta por cento das cadeiras de Deputado Federal, Deputado Estadual, Deputado Distrital e Vereador para as mulheres e reservar, quando da renovação de dois terços do Senado Federal, uma vaga para candidaturas femininas.",2021,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2023-09-18,PL 810/2020,"Altera a Lei nº 8.629, de 25 de fevereiro de 1993 (Lei da Reforma Agrária), para prever a adoção de medidas de estímulo e de facilitação da titulação de terras a mulheres trabalhadoras rurais da agricultura familiar no âmbito da reforma agrária e para incluir grupos prioritários no processo de seleção do Programa Nacional de Reforma Agrária.",2020,CDH,Comissão de Direitos Humanos e Legislação Participativa
5783,Relator,2023-09-11,PL 1304/2022,"Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para incluir educação para o trânsito nos currículos da educação básica.",2022,CE,Comissão de Educação e Cultura
5783,Relator,2023-09-04,PL 614/2021,"Altera os arts. 189 e 190 da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, para disciplinar a proteção da saúde do trabalhador contra os riscos biológicos presentes no ambiente de trabalho.",2021,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-04,PL 3647/2020,"Acrescenta o art. 13-A à Lei nº 9.656, de 3 de junho de 1998, para obrigar a operadora de plano de assistência à saúde a cobrir ao final do contrato os mesmos serviços médicos e hospitalares pelo mesmo período de carência a que se submeter o consumidor.",2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-01,PL 2111/2020,"Altera a Lei nº 8.080, de 19 de setembro de 1990, e a Lei nº 13.979, de 6 de fevereiro de 2020, para obrigar o Sistema Único de Saúde a manter sistema com informações sobre insumos, equipamentos, serviços e profissionais das unidades de saúde.",2020,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-01,PDL 152/2023,"Susta a aplicação da Resolução nº 487, de 15 de fevereiro de 2023, do Conselho Nacional de Justiça – CNJ.",2023,CAS,Comissão de Assuntos Sociais
5783,Relator,2023-09-01,PDL 370/2021,"Aprova o ato que renova a autorização outorgada à Associação Comunitária dos Bairros do Município de Luz para executar serviço de radiodifusão comunitária no Município de Luz, Estado de Minas Gerais.",2021,CCDD,Comissão de Comunicação e Direito Digital
