codigoParlamentar,TipoRelator,DataDesignacao,Identificacao,Ementa,AnoMateria,SiglaComissao,NomeComissao
3806,Relator Ad hoc,2024-06-25,PL 710/2024,"Altera a Lei nº 12.379, de 06 de janeiro de 2011, que dispõe sobre o Sistema Nacional de Viação, para aperfeiçoar os mecanismos de gestão e segurança das rodovias brasileiras.",2024,CI,Comissão de Serviços de Infraestrutura
3806,Relator,2024-06-24,PL 2999/2023,Estabelece regras para a prevenção e o tratamento de fraudes financeiras e bancárias e aperfeiçoa as hipóteses de responsabilidade civil e criminal das instituições financeiras e dos fraudadores.,2023,CCDD,Comissão de Comunicação e Direito Digital
3806,Relator,2024-06-24,PL 4161/2020,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, para agravar a pena quando o crime é cometido por meio da rede mundial de computadores.",2020,CCDD,Comissão de Comunicação e Direito Digital
3806,Relator,2024-06-12,PL 4284/2019,Reconhece o Arraial do Pavulagem como manifestação da cultura nacional.,2019,CE,Comissão de Educação e Cultura
3806,Relator,2024-06-12,PL 1765/2024,"Reconhece como manifestação da cultura nacional a Festa do Sairé, realizada no distrito de Alter do Chão, no Município de Santarém, no Estado do Pará.",2024,CE,Comissão de Educação e Cultura
3806,Relator,2024-05-13,PL 4029/2021,Institui o Dia Nacional do Pastor Evangélico.,2021,CE,Comissão de Educação e Cultura
3806,Relator,2024-05-02,PL 6154/2023,"Denomina Passarela Bruno Santos Bacci a passarela de pedestre construída sobre a BR-381, Rodovia Fernão Dias, localizada na cidade de Atibaia, no Estado de São Paulo.",2023,CI,Comissão de Serviços de Infraestrutura
3806,Relator,2024-05-02,PL 6396/2019,"Altera a Lei nº 10.741, de 1º de outubro de 2003, que dispõe sobre o Estatuto do Idoso e dá outras providências, para elevar o número e o percentual de assentos reservados às pessoas idosas no transporte coletivo público urbano e semiurbano e no transporte coletivo interestadual.",2019,CI,Comissão de Serviços de Infraestrutura
3806,Relator Ad hoc,2024-04-23,PL 1051/2022,"Confere ao Município de Maceió, no Estado de Alagoas, o título de Capital Nacional do Sururu.",2022,CE,Comissão de Educação e Cultura
3806,Relator,2024-04-18,PDL 386/2023,"Aprova o ato que outorga autorização à Associação de Amigos da Radiodifusão Comunitária de Primavera - ARCOP para executar serviço de radiodifusão comunitária no Município de Primavera, Estado do Pará.",2023,CCDD,Comissão de Comunicação e Direito Digital
3806,Relator,2024-04-18,PDL 131/2022,"Aprova o ato que renova a autorização outorgada à Associação Cultural dos Amigos e Amigas de Nova Esperança do Piriá - ACANEP para executar serviço de radiodifusão comunitária no Município de Nova Esperança do Piriá, Estado do Pará.",2022,CCDD,Comissão de Comunicação e Direito Digital
