codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
470,2019-04-09,PEC 61/2015,"Altera o art. 166 da Constituição Federal, para autorizar a apresentação de emendas ao projeto de lei do orçamento anual diretamente ao Fundo de Participação dos Estados e do Distrito Federal e ao Fundo de Participação dos Municípios.",Sim
470,2023-11-08,PEC 45/2019,Altera o Sistema Tributário Nacional.,Sim
470,2023-11-08,PEC 45/2019,Altera o Sistema Tributário Nacional.,Não
470,2023-11-08,PEC 45/2019,Altera o Sistema Tributário Nacional.,Sim
470,2023-11-08,PEC 45/2019,Altera o Sistema Tributário Nacional.,Não
470,2023-11-08,PEC 45/2019,Altera o Sistema Tributário Nacional.,Sim
470,2023-10-10,PL 2721/2023,Dispõe sobre a prestação de serviços postais aos órgãos públicos federais da administração direta e indireta.,Missão da Casa no País/exterior
470,2023-08-29,PLP 257/2019,"Altera a Lei Complementar nº 101, de 04 de maio de 2000, e a Lei n° 12.340, de 1º de dezembro de 2010, para aperfeiçoar os meios técnicos e financeiros de resposta da União a calamidades públicas.",Sim
470,2023-06-06,PEC 43/2022,"Acrescenta o art. 121 ao Ato das Disposições Constitucionais Transitórias, para assegurar prazo de vigência adicional aos instrumentos de permissão lotérica.",Sim
470,2023-06-06,PEC 43/2022,"Acrescenta o art. 121 ao Ato das Disposições Constitucionais Transitórias, para assegurar prazo de vigência adicional aos instrumentos de permissão lotérica.",Sim
470,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
470,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
470,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
470,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Não
470,2022-12-07,PEC 32/2022,"Altera o Ato das Disposições Constitucionais Transitórias para permitir a implementação do Programa Bolsa Família e definir regras para a transição da Presidência da República aplicáveis à Lei Orçamentária de 2023, e dá outras providências.",Sim
470,2022-12-13,PEC 13/2019,"Altera o art. 156 da Constituição Federal, para estabelecer critérios ambientais para a cobrança do Imposto sobre Propriedade Predial e Territorial Urbana e desonerar a parcela do imóvel com vegetação nativa.",Sim
470,2022-12-13,PEC 13/2019,"Altera o art. 156 da Constituição Federal, para estabelecer critérios ambientais para a cobrança do Imposto sobre Propriedade Predial e Territorial Urbana e desonerar a parcela do imóvel com vegetação nativa.",Sim
470,2022-07-06,PLS 5/2015,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para alterar o enquadramento no Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte (Simples Nacional) das atividades de prestação de serviço de representação comercial e demais atividades de intermediação de negócios e serviços de terceiros.",Sim
470,2022-06-22,PDL 333/2020,"Susta a Portaria nº 377, de 8 de julho de 2020, da Secretaria do Tesouro Nacional do Ministério da Economia, que “Estabelece prazos para a definição de rotinas e contas contábeis, bem como classificações orçamentárias para operacionalização do item 04.01.02.01 (3) da 10ª edição do Manual de Demonstrativos Fiscais (MDF), aprovado pela Portaria STN nº 286, de 7 de maio de 2019, e alterações posteriores”.",Missão da Casa no País/exterior
470,2022-06-21,MPV 1102/2022,"Abre crédito extraordinário, em favor do Ministério do Desenvolvimento Regional, no valor de R$ 479.866.600,00, para o fim que especifica.",Missão da Casa no País/exterior
