codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
35,1999-09-14,PDS 106/1997,"APROVA O ATO QUE RENOVA A CONCESSÃO DEFERIDA A RADIO EDUCADORA DE     
GUAJARA-MIRIM LTDA., PARA EXPLORAR SERVIÇO DE RADIODIFUSÃO SONORA     
EM ONDA TROPICAL NA CIDADE DE GUAJARA-MIRIM, ESTADO DE RONDONIA.      
",Sim
35,2014-12-10,MSF 63/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor FERNANDO DE MELLO VIDAL, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República do Haiti.
",Presente – Não registrou voto
35,2014-12-09,MSF 84/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com a redação dada pelo art. 1º da Lei nº 10.411, de 26 de fevereiro de 2002, o nome do Senhor PABLO WALDEMAR RENTERIA para exercer o cargo de Diretor da Comissão de Valores Mobiliários - CVM.",Presente – Não registrou voto
35,2014-12-09,MSF 43/2014,"Submete à apreciação do Senado Federal a indicação do Senhor PAULO ANTONIO PEREIRA PINTO, Ministro de Segunda Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto na República de Belarus.",Presente – Não registrou voto
35,2014-12-09,MSF 42/2014,"Submete à apreciação do Senado Federal a indicação do Senhor MARCO ANTONIO DINIZ BRANDÃO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Socialista do Vietnã.",Presente – Não registrou voto
35,2014-12-02,PDS 183/2014,"Escolhe o Sr. Vital do Rêgo Filho para o cargo de Ministro do Tribunal de Contas da União, nos termos do art. 73, § 2º, inciso II, Da Constituição Federal, e art. 105, inciso II, da Lei nº 8.443, de 1992.",Presente – Não registrou voto
35,2014-12-02,MSF 85/2014,"Submete à apreciação do Senado Federal, nos termos do art. 123 da Constituição Federal, o nome do Almirante-de-Esquadra CARLOS AUGUSTO DE SOUSA, para exercer o cargo de Ministro do Superior Tribunal Militar na vaga decorrente do falecimento do Almirante-de-Esquadra Marcos Martins Torres.",Presente – Não registrou voto
35,2014-11-18,MSF 41/2014,"Submete à apreciação do Senado Federal a indicação do Senhor JORGE GERALDO KADRI, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto na República Libanesa.",Licença saúde
35,2014-11-11,MSF 30/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, III, alínea ""f"", da Constituição Federal, combinado com o art. 88 da Lei nº 10.233, de 5 de junho de 2001, o nome do Senhor VALTER CASIMIRO SILVEIRA para exercer o cargo de Diretor de Infraestrutura Aquaviária do Departamento Nacional de Infraestrutura de Transportes - DNIT. 
",Licença saúde
35,2014-11-11,MSF 54/2014,"Submete à consideração do Senado Federal o nome da Senhora Maria Helena Mallmann para exercer o cargo de Ministra do Tribunal Superior do Trabalho, na vaga reservada a juízes de carreira da magistratura trabalhista, decorrente da aposentadoria do Ministro Carlos Alberto Reis de Paula.",Licença saúde
35,2014-11-05,PLC 99/2013,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal; dispõe sobre critérios de indexação dos contratos de refinanciamento da dívida celebrados entre a União, Estados e Municípios; e dá outras providências.",Licença saúde
35,2014-11-05,PLC 99/2013,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal; dispõe sobre critérios de indexação dos contratos de refinanciamento da dívida celebrados entre a União, Estados e Municípios; e dá outras providências.",Licença saúde
35,2014-11-05,PLC 99/2013,"Altera a Lei Complementar nº 101, de 4 de maio de 2000, que estabelece normas de finanças públicas voltadas para a responsabilidade na gestão fiscal; dispõe sobre critérios de indexação dos contratos de refinanciamento da dívida celebrados entre a União, Estados e Municípios; e dá outras providências.",Licença saúde
35,2014-10-29,MPV 651/2014,"Dispõe sobre os fundos de índice de renda fixa, sob a responsabilidade tributária na integralização de cotas de fundos ou clubes de investimento por meio da entrega de ativos financeiros; sobre a tributação das operações de empréstimos de ativos financeiros; sobre a isenção de imposto sobre a renda na alienação de ações de empresas pequenas e médias; prorroga o prazo de que trata a Lei nº 12.431, de 24 de junho de 2011; e dá outras providências.",Atividade parlamentar
35,2014-08-06,MSF 53/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 5º da Lei nº 9.427, de 26 de dezembro de 1996, o nome do Senhor TIAGO DE BARROS CORREIA para exercer o cargo de Diretor da Agência Nacional de Energia Elétrica - ANEEL.",Presente – Não registrou voto
35,2014-08-06,PDS 31/2013,"Susta os efeitos da Resolução nº 34/89 do Conselho Nacional de Defesa do Consumidor, que proíbe ao comerciante estabelecer diferença de preço de venda quando o pagamento ocorrer por meio de cartão de crédito.",Presente – Não registrou voto
35,2014-08-05,OFS 4/2014,"Comunica, em consideração ao disposto no art. 103-B, inciso XIII, da Constituição Federal, com a redação dada pela Emenda Constitucional nº 45, de 8 de dezembro de 2004, a aprovação da recondução do Senhor EMMANOEL CAMPELO DE SOUZA PEREIRA para compor o Conselho Nacional de Justiça.",Presente – Não registrou voto
35,2014-08-05,PEC 39/2013,"Altera a redação do art. 159 da Constituição Federal, para aumentar em dois pontos percentuais o repasse do IR e do IPI para o Fundo de Participação dos Municípios (FPM).",Presente – Não registrou voto
35,2014-08-05,PEC 39/2013,"Altera a redação do art. 159 da Constituição Federal, para aumentar em dois pontos percentuais o repasse do IR e do IPI para o Fundo de Participação dos Municípios (FPM).",Presente – Não registrou voto
35,2014-08-05,PLS 150/2013,"Acrescenta § 5º e 6º ao art. 55 e acrescenta § 9º ao art. 57 da Lei nº 8.213, de 24 de julho de 1991, que ""dispõe sobre o Plano de Benefícios da Previdência Social e dá outras providências"", para dispor sobre a contagem do período de defeso no âmbito da pesca como tempo de contribuição e aposentadoria especial dos pescadores.",Sim
35,2014-08-05,MSF 31/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, III, alínea ""f"", da Constituição Federal, combinado com o art. 88 da Lei nº 10.233, de 5 de junho de 2001, o nome do Senhor ADAILTON CARDOSO DIAS para exercer o cargo de Diretor de Planejamento e Pesquisa do Departamento Nacional de Infraestrutura de Transportes - DNIT.",Votou
