codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
5525,2017-02-14,PEC 50/2016,"Acrescenta o § 7º ao art. 225 da Constituição Federal, para permitir a realização das manifestações culturais registradas como patrimônio cultural brasileiro que não atentem contra o bem-estar animal.",Sim
5525,2015-03-10,PEC 32/2010,"Altera os arts. 92 e 111-A da Constituição Federal, para explicitar o Tribunal Superior do Trabalho como órgão do Poder Judiciário, alterar os requisitos para o provimento dos cargos de Ministros daquele Tribunal e modificar-lhe a competência.",Presente – Não registrou voto
5525,2015-03-10,MSF 67/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome da Senhora ISABEL CRISTINA DE AZEVEDO HEYVAERT, Ministra de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para, cumulativamente com o cargo de Embaixadora do Brasil na República Democrática Federal da Etiópia, exercer o cargo de Embaixadora do Brasil na República do Sudão do Sul.",Presente – Não registrou voto
5525,2015-03-10,MSF 70/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor CARLOS ALBERTO MICHAELSEN DEN HARTOG, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na Jamaica.",Presente – Não registrou voto
5525,2015-03-10,MSF 68/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor EDUARDO CARVALHO, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Namíbia.",Presente – Não registrou voto
5525,2015-03-10,MSF 66/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor ANTONIO FRANCISCO DA COSTA E SILVA NETO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Finlândia.",Votou
5525,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Não
5525,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Não
5525,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Sim
5525,2015-02-25,MPV 658/2014,"Altera a Lei nº 13.019, de 31 de julho de 2014, que estabelece o regime jurídico das parcerias voluntárias, envolvendo ou não transferências de recursos financeiros, entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público; define diretrizes para a política de fomento e de colaboração com organizações da sociedade civil; institui o termo de colaboração e o termo de fomento; e altera as Leis nºs 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999.
",Não
