codigoParlamentar,DataSessaoPlenaria,DescricaoIdentificacaoMateria,EmentaMateria,DescricaoVoto
5070,2012-08-07,PLS 198/2007,"Acrescenta parágrafo ao Art. 1º da Lei Complementar nº 110, de 2001, estabelecendo prazo para a extinção de contribuição social.",Sim
5070,2015-03-10,PEC 32/2010,"Altera os arts. 92 e 111-A da Constituição Federal, para explicitar o Tribunal Superior do Trabalho como órgão do Poder Judiciário, alterar os requisitos para o provimento dos cargos de Ministros daquele Tribunal e modificar-lhe a competência.",Sim
5070,2015-03-10,MSF 67/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome da Senhora ISABEL CRISTINA DE AZEVEDO HEYVAERT, Ministra de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para, cumulativamente com o cargo de Embaixadora do Brasil na República Democrática Federal da Etiópia, exercer o cargo de Embaixadora do Brasil na República do Sudão do Sul.",Presente – Não registrou voto
5070,2015-03-10,MSF 70/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor CARLOS ALBERTO MICHAELSEN DEN HARTOG, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na Jamaica.",Presente – Não registrou voto
5070,2015-03-10,MSF 68/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor EDUARDO CARVALHO, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Namíbia.",Presente – Não registrou voto
5070,2015-03-10,MSF 66/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 41 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor ANTONIO FRANCISCO DA COSTA E SILVA NETO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República da Finlândia.",Votou
5070,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Não
5070,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Presente – Não registrou voto
5070,2015-03-10,PEC 40/2011,"Altera o art. 17 da Constituição Federal, para permitir coligações eleitorais apenas nas eleições majoritárias.",Sim
5070,2015-02-25,MPV 658/2014,"Altera a Lei nº 13.019, de 31 de julho de 2014, que estabelece o regime jurídico das parcerias voluntárias, envolvendo ou não transferências de recursos financeiros, entre a administração pública e as organizações da sociedade civil, em regime de mútua cooperação, para a consecução de finalidades de interesse público; define diretrizes para a política de fomento e de colaboração com organizações da sociedade civil; institui o termo de colaboração e o termo de fomento; e altera as Leis nºs 8.429, de 2 de junho de 1992, e 9.790, de 23 de março de 1999.
",Não
5070,2014-12-10,MSF 63/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso IV, da Constituição Federal, e com o art. 39, combinado com o art. 46 da Lei nº 11.440, de 29 de dezembro de 2006, o nome do Senhor FERNANDO DE MELLO VIDAL, Ministro de Segunda Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República do Haiti.
",Presente – Não registrou voto
5070,2014-12-09,MSF 84/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, III, alínea ""f"", da Constituição Federal, combinado com o art. 6º da Lei nº 6.385, de 7 de dezembro de 1976, com a redação dada pelo art. 1º da Lei nº 10.411, de 26 de fevereiro de 2002, o nome do Senhor PABLO WALDEMAR RENTERIA para exercer o cargo de Diretor da Comissão de Valores Mobiliários - CVM.",Votou
5070,2014-12-09,MSF 43/2014,"Submete à apreciação do Senado Federal a indicação do Senhor PAULO ANTONIO PEREIRA PINTO, Ministro de Segunda Classe do Quadro Especial da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto na República de Belarus.",Votou
5070,2014-12-09,MSF 42/2014,"Submete à apreciação do Senado Federal a indicação do Senhor MARCO ANTONIO DINIZ BRANDÃO, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil na República Socialista do Vietnã.",Votou
5070,2014-12-02,PDS 183/2014,"Escolhe o Sr. Vital do Rêgo Filho para o cargo de Ministro do Tribunal de Contas da União, nos termos do art. 73, § 2º, inciso II, Da Constituição Federal, e art. 105, inciso II, da Lei nº 8.443, de 1992.",Votou
5070,2014-12-02,MSF 85/2014,"Submete à apreciação do Senado Federal, nos termos do art. 123 da Constituição Federal, o nome do Almirante-de-Esquadra CARLOS AUGUSTO DE SOUSA, para exercer o cargo de Ministro do Superior Tribunal Militar na vaga decorrente do falecimento do Almirante-de-Esquadra Marcos Martins Torres.",Votou
5070,2014-11-18,MSF 41/2014,"Submete à apreciação do Senado Federal a indicação do Senhor JORGE GERALDO KADRI, Ministro de Primeira Classe da Carreira de Diplomata do Ministério das Relações Exteriores, para exercer o cargo de Embaixador do Brasil junto na República Libanesa.",Votou
5070,2014-07-16,PEC 20/2014,Acrescenta o art. 92-A ao Ato das Disposições Constitucionais Transitórias - ADCT.,Sim
5070,2014-07-16,MSF 51/2014,"Submete à apreciação do Senado Federal, de conformidade com o art. 52, inciso III, alínea ""f"", da Constituição Federal, combinado com o art. 5º da Lei nº 9.427, de 26 de dezembro de 1996, o nome do Senhor ANDRÉ PEPITONE DA NÓBREGA para ser reconduzido ao cargo de Diretor da Agência Nacional de Energia Elétrica - ANEEL.",Presente – Não registrou voto
5070,2014-07-16,MSF 44/2014,"Submete à apreciação, de conformidade com o art. 52, inciso III, alínea ""f"" da Constituição Federal, comibinado com o art. 6° da Lei n° 9.961, de 28 de janeiro de 2000, o nome da Senhora Martha Regina de Oliveira para exercer o cargo de Diretora da Agência Nacional de Saúde Suplementar - ANS.",Votou
5070,2014-07-16,OFS 10/2014,"Submete à apreciação do Senado Federal a indicação da Ministra NANCY ANDRIGHI para compor o Conselho Nacional de Justiça, no período 2014-2016, em conformidade com o disposto no inciso II do art. 103-B da Constituição Federal.",Presente – Não registrou voto
5070,2014-07-16,PEC 20/2014,Acrescenta o art. 92-A ao Ato das Disposições Constitucionais Transitórias - ADCT.,Sim
5070,2014-07-16,PLC 60/2014,"Altera a Lei Complementar n° 123 de 14 de dezembro de 2006, e as Leis nºs 5.889, de 8 de junho de 1973, 11.101, de 9 de fevereiro de 2005, 9.099, de 26 de setembro de 1995, 11.598, de 3 de dezembro de 2007, 8.934, de 18 de novembro de 1994, 10.406, de 10 de janeiro de 2002, e 8.666, de 21 de junho de 1993; e dá outras providências.",Sim
